Record,strat_depth,SH20_age,Group,Guano_Zone,Guano_Sum,cln_P2O5_TiO2,cln_CaO_TiO2,cln_Cu_TiO2,cln_Zn_TiO2,cln_Sr_TiO2,cln_P_Ti,cln_Ca_Ti,cln_Cu_Ti,cln_Zn_Ti,cln_Sr_Ti,cln_P_Ti_CS,cln_Ca_Ti_CS,cln_Cu_Ti_CS,cln_Zn_Ti_CS,cln_Sr_Ti_CS,Plot_order
,cm,cal a BP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARD,13,1286,Unit 12,ARD GZ 5,Guano,0.964494665,0.03340639,0.658355084,0.30324396,0.491622197,0.964494665,0.03340639,0.658355084,0.30324396,0.491622197,-0.585272865,-0.646057512,-1.592542679,-1.496146146,-1.485349739,3
ARD,15,1609,Unit 12,ARD GZ 5,Guano,0.505215982,-0.157846763,0.099152047,0.260016772,0.149357382,0.505215982,-0.157846763,0.099152047,0.260016772,0.149357382,1.050132991,0.508844139,1.032740661,1.107657438,0.413160554,3
ARD,17,1783,Unit 12,ARD GZ 5,Guano,1.839577749,0.683075532,1.587312507,1.501986641,1.318503713,1.839577749,0.683075532,1.587312507,1.501986641,1.318503713,0.842347303,0.693707207,1.163648819,1.126399399,0.542386587,3
ARD,19,1958,Unit 12,ARD GZ 5,Guano,1.348161599,0.152899872,1.133559068,0.937748849,0.809985762,1.348161599,0.152899872,1.133559068,0.937748849,0.809985762,1.799692188,1.10946519,1.509772425,1.689576165,1.149240679,3
ARD,21,2084,Unit 12,ARD GZ 5,Guano,1.538478003,0.343124642,1.356697986,1.173439328,0.988987141,1.538478003,0.343124642,1.356697986,1.173439328,0.988987141,1.163096403,1.040849183,1.542693255,1.646954049,1.04668301,3
ARD,23,2163,Unit 12,ARD GZ 5,Guano,,,,,,,,,,,0.835698819,-0.211616201,0.769527827,0.496223369,0.248379906,3
ARD,25,2243,Unit 12,ARD GZ 5,Guano,1.229198598,0.229688747,0.862681649,0.997878058,0.738177379,1.229198598,0.229688747,0.862681649,0.997878058,0.738177379,1.859464665,1.023570663,1.662522767,1.610283966,0.952379706,3
ARD,27,2303,Unit 12,ARD GZ 5,Guano,0.707900718,-0.052326971,0.267146882,0.263602976,0.195461584,0.707900718,-0.052326971,0.267146882,0.263602976,0.195461584,0.89103687,0.09927951,0.180949975,0.169598736,-0.191078377,3
ARD,29,2363,Unit 12,ARD GZ 5,Guano,0.502652445,-0.14726046,0.163053225,-0.056624475,0.072683799,0.502652445,-0.14726046,0.163053225,-0.056624475,0.072683799,0.671006752,0.244557049,0.332010296,0.328991618,-0.011357144,3
