Record,Section,Strat_Depth_cm,SH20_95CI_min_age,SH20_95CI_max_age,SH20_median_age,SH20_mean_age,Type,Group,Guano_Zone,Guano_Sum,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,Location,Location1,Location2,Reference
ARD,ARD1A,0,-56.88,-56.3,-56.6,-56.6,Freshwater,Unit A13,ARD GZ 0,Non Guano,46.24,1.22,13.58,6.55,0.11,2.5,6.11,2.7,0.52,2.81,Ardley Island,Ardley Island,SSI,Roberts et al. (2017)
ARD,ARD1A,1,36.15,49.66,42.72,42.76,Freshwater,Unit A12,ARD GZ 0,Non Guano,44,1.21,13.86,6.46,0.11,2.36,6.54,2.63,0.54,3.88,Ardley Island,Ardley Island,SSI,Roberts et al. (2017)
ARD,ARD1A,2,128.85,155.77,142.03,142.11,Freshwater,Unit A12,ARD GZ 0,Non Guano,46.55,1.29,14.19,6.74,0.11,2.52,6.17,2.83,0.54,2.91,Ardley Island,Ardley Island,SSI,Roberts et al. (2017)
ARD,ARD1A,6,481.02,556.65,512.81,514.1,Freshwater,Unit A12,ARD GZ 0,Non Guano,50.96,1.42,14.82,6.99,0.11,2.9,5.76,3.12,0.52,1.42,Ardley Island,Ardley Island,SSI,Roberts et al. (2017)
ARD,ARD1A,7,547.29,668.04,583.56,588.03,Freshwater,Unit A12,ARD GZ 0,Non Guano,55.99,1.45,15.65,7.22,0.11,2.96,5.9,3.34,0.87,1.43,Ardley Island,Ardley Island,SSI,Roberts et al. (2017)
ARD,ARD1A,8,606.36,780.68,654.58,661.95,Freshwater,Unit A12,ARD GZ 0,Non Guano,51.56,1.44,14.98,7.08,0.11,2.97,5.8,3.18,0.53,1.32,Ardley Island,Ardley Island,SSI,Roberts et al. (2017)
ARD,ARD1A,9,661.12,894.54,726.21,735.87,Freshwater,Unit A12,ARD GZ 0,Non Guano,56.89,1.49,15.69,7.73,0.12,3.1,6.15,3.45,0.9,1.28,Ardley Island,Ardley Island,SSI,Roberts et al. (2017)
ARD,ARD1A,11,882.68,1106.63,959.93,967.12,Freshwater,Unit A12,ARD GZ 0,Non Guano,51.92,1.6,15.78,8.31,0.13,3.41,6.83,3.52,0.54,1.41,Ardley Island,Ardley Island,SSI,Roberts et al. (2017)
ARD,ARD1A,13,1119.03,1403.26,1295.85,1281.77,Freshwater,Unit A12,ARD GZ 0,Non Guano,39.26,1.02,13.11,6.23,0.1,1.91,7.25,2.44,0.66,5.47,Ardley Island,Ardley Island,SSI,Roberts et al. (2017)
ARD,ARD1A,15,1309.81,1810.73,1622.13,1596.42,Freshwater,Unit A12,ARD GZ 5,Guano,44.67,1.17,14.59,6.23,0.11,2.4,6.83,2.7,0.56,3.94,Ardley Island,Ardley Island,SSI,Roberts et al. (2017)
