depth	min	max	median	mean
0	-56.88	-56.31	-56.6	-56.6
1	35.95	49.57	42.62	42.7
2	128.52	155.8	141.87	142
3	221.11	262.05	241.11	241.29
4	313.66	368.26	340.32	340.59
5	406.21	474.45	439.56	439.89
6	482.85	551.23	512.19	513.28
7	548.1	659	583.5	586.68
8	609.97	771.05	654.93	660.07
9	666.66	881.58	726.34	733.47
10	722.01	993.76	798.01	806.87
11	889.28	1099.48	961.01	966.09
12	1026.07	1216.4	1130.11	1125.32
13	1138.46	1394.55	1295.84	1284.55
14	1251.42	1595.34	1457.72	1443.78
15	1354.94	1797.31	1621.17	1603.01
16	1465.35	1862.39	1702.95	1689.71
17	1536.28	1957.98	1785.55	1776.41
18	1587.24	2075.95	1871.7	1863.12
19	1623.7	2211.11	1961.05	1949.82
20	1655.37	2359.41	2050.66	2036.52
21	1705.48	2379	2094.56	2078.84
22	1738.91	2401.4	2140.86	2121.16
23	1765.35	2437.23	2182.88	2163.48
24	1797.58	2490.12	2226.12	2205.79
25	1827.15	2560.47	2265.97	2248.11
26	1859.26	2575.71	2299	2277.99
27	1893.27	2594.4	2331.98	2307.86
28	1919.3	2616.45	2362.53	2337.73
29	1944.5	2649.39	2392.36	2367.61
30	1968.91	2687.68	2423.27	2397.48
31	2019.34	2698.82	2456.08	2427.53
32	2072.81	2711.53	2488.57	2457.58
33	2103.41	2726.36	2521.29	2487.63
34	2135.14	2749.51	2556.25	2517.68
35	2161.55	2779.55	2589.7	2547.73
36	2216.73	2785.99	2621.4	2577.13
37	2253.31	2794.92	2654.11	2606.53
38	2289.07	2803.83	2685.34	2635.93
39	2318.68	2819.92	2716	2665.33
40	2341.45	2842.33	2748.58	2694.72
41	2359.56	2848.65	2761.17	2709.06
42	2376.8	2857.52	2773	2723.4
43	2393.59	2868.99	2785.69	2737.74
44	2407.33	2882.67	2796.33	2752.08
45	2420.85	2903.4	2806.36	2766.42
46	2437.57	2911.25	2816.11	2777.61
47	2455.81	2920.5	2826.06	2788.79
48	2467.87	2930.26	2836.24	2799.98
49	2483	2942.75	2845.7	2811.16
50	2492.59	2956.95	2854.48	2822.35
51	2502.24	2963.3	2861.7	2829.82
52	2511.17	2972.63	2868.64	2837.3
53	2523.74	2983.07	2874.55	2844.78
54	2533.36	2994.02	2880.48	2852.25
55	2541.48	3007.2	2886.75	2859.73
56	2549.59	3013.6	2893.55	2867.05
57	2560.54	3022.26	2900.15	2874.36
58	2570.68	3030.7	2906.34	2881.68
59	2581.61	3041.49	2912.54	2889
60	2589.59	3052.85	2918.54	2896.32
61	2599.89	3060.28	2925.36	2903.54
62	2610.21	3069.17	2932.64	2910.76
63	2619.41	3076.86	2939.2	2917.98
64	2625.94	3086.83	2945.2	2925.2
65	2635.03	3097.59	2951.47	2932.42
66	2646.27	3103.48	2958.63	2939.85
67	2659.16	3108.85	2965.55	2947.28
68	2670.57	3117.26	2972.24	2954.71
