C:\Data\BAS_sjro\ARD1A     8/20/2008  re-evaluated data																																											
peakarea																																											
filename	position (mm)	sample surface	validity	E-gain	E-offset	F-slope	F-offset	kcps	MSE	Al	Si	P	S	Cl	Ar	K	Ca	Ti	V	Cr	Mn	Fe	Co	Ni	Cu	Zn	Ga	As	Se	Br	Rb	Sr	Zr	Cs	Ba	Ta	W	Ir	Pt	Pb	D1	inc	coh
C:\Data\BAS_sjro\ARD1A\XRF data\L000000.spe	0.04	8	0	0.018321	-0.005729	0.009481	0.091381	3473	1.04	0	0	0	0	0	83	6	0	11	0	0	0	16	0	0	0	0	0	17	0	31	0	84	250	0	0	0	0	12	0	0	0	6988	1593
C:\Data\BAS_sjro\ARD1A\XRF data\L000001.spe	2.1	6.69	0	0.018321	-0.005708	0.009481	0.09139	6561	1.07	0	5	0	0	0	60	0	0	6	0	0	0	114	0	0	0	0	0	43	54	21	38	812	514	0	0	13	15	27	0	0	0	13727	3676
C:\Data\BAS_sjro\ARD1A\XRF data\L000002.spe	4.2	6.78	0	0.01832	-0.005708	0.009483	0.091396	6678	1.04	0	0	7	21	0	68	0	0	6	0	0	0	113	12	0	0	23	16	71	0	82	0	899	692	0	0	11	16	0	10	0	0	13920	4197
C:\Data\BAS_sjro\ARD1A\XRF data\L000003.spe	6.04	6.94	0	0.018321	-0.005708	0.009484	0.091403	6926	1.06	5	0	5	9	0	57	5	9	4	9	0	0	166	14	0	0	28	0	46	0	54	0	1014	621	0	0	8	15	37	52	0	0	14085	4525
C:\Data\BAS_sjro\ARD1A\XRF data\L000004.spe	8.04	7.06	0	0.018321	-0.005686	0.009484	0.09141	7642	1.02	0	0	8	13	0	72	7	0	6	0	0	0	149	22	0	0	39	0	75	0	145	17	1340	604	0	0	8	0	0	7	0	22	15510	4918
C:\Data\BAS_sjro\ARD1A\XRF data\L000005.spe	10.04	7.17	0	0.018321	-0.00571	0.009484	0.091402	6743	1.06	10	8	22	26	13	81	0	18	0	0	16	11	121	14	0	16	35	0	37	11	41	18	925	769	5	6	0	4	36	29	0	13	13833	4156
C:\Data\BAS_sjro\ARD1A\XRF data\L000006.spe	12.04	7.22	0	0.01832	-0.00571	0.009483	0.091409	5304	1	8	12	24	14	0	76	6	12	0	0	0	0	83	12	0	0	12	0	43	0	62	0	563	492	0	7	0	26	32	19	0	0	10456	3088
C:\Data\BAS_sjro\ARD1A\XRF data\L000007.spe	14.04	7.28	0	0.018321	-0.005736	0.009483	0.0914	6797	1.05	0	7	0	5	10	82	6	14	0	0	10	5	104	8	0	0	23	0	0	0	69	0	965	663	4	0	9	14	6	23	69	0	14111	4148
C:\Data\BAS_sjro\ARD1A\XRF data\L000008.spe	16.04	7.31	0	0.018321	-0.005762	0.009483	0.091408	6250	0.96	8	0	23	13	0	63	7	6	0	0	0	0	110	8	0	11	22	0	0	0	53	32	706	594	0	0	0	10	18	37	51	26	12729	3519
C:\Data\BAS_sjro\ARD1A\XRF data\L000009.spe	18.04	7.31	0	0.01832	-0.005762	0.009481	0.091397	7836	1.16	6	0	0	15	0	81	7	93	51	0	0	16	2645	9	0	28	21	39	0	0	125	0	867	752	8	0	0	15	0	46	44	34	14932	4364
C:\Data\BAS_sjro\ARD1A\XRF data\L000010.spe	20.04	7.31	0	0.018321	-0.005787	0.009481	0.091406	6018	1.07	0	10	18	29	13	72	13	121	98	15	0	39	3191	26	0	0	21	0	0	6	70	32	777	462	0	0	23	17	13	19	57	0	10682	3475
C:\Data\BAS_sjro\ARD1A\XRF data\L000011.spe	22.04	7.31	0	0.018321	-0.005787	0.00948	0.0914	7236	0.97	0	0	12	32	0	73	20	208	125	0	0	37	4751	57	0	5	66	0	7	6	86	23	1009	705	0	0	0	0	42	35	32	31	12610	4056
C:\Data\BAS_sjro\ARD1A\XRF data\L000012.spe	24.04	7.31	0	0.018321	-0.005787	0.009478	0.0914	6252	1.03	0	6	7	0	0	79	8	94	63	0	0	11	2512	24	0	12	37	13	0	20	98	10	1017	463	0	0	0	31	12	38	42	21	11586	3722
C:\Data\BAS_sjro\ARD1A\XRF data\L000013.spe	26.04	7.34	1	0.018321	-0.005787	0.009478	0.091408	8929	1.02	0	26	0	39	0	66	28	662	409	33	10	150	12336	77	0	31	84	21	11	49	83	0	1221	642	0	0	33	12	8	33	10	0	13275	4437
C:\Data\BAS_sjro\ARD1A\XRF data\L000014.spe	28.04	7.29	1	0.018321	-0.005787	0.009478	0.091428	11596	1.31	0	12	11	34	11	44	69	1256	728	42	0	271	20997	110	8	95	86	15	0	0	200	42	1544	781	0	7	0	27	48	28	140	25	15701	4801
C:\Data\BAS_sjro\ARD1A\XRF data\L000015.spe	30.2	7.12	1	0.018321	-0.005754	0.009477	0.091428	9186	1.14	13	26	0	19	0	41	75	1297	711	19	0	217	21673	202	14	104	109	23	92	42	72	0	1128	622	0	12	0	34	21	4	0	74	10454	3543
C:\Data\BAS_sjro\ARD1A\XRF data\L000016.spe	32.1	7.16	1	0.018321	-0.005735	0.009477	0.091436	9326	1.17	0	15	0	15	0	46	86	1388	789	34	0	275	23242	198	0	21	72	65	47	44	76	14	1063	542	0	0	0	0	0	18	11	45	10412	3352
C:\Data\BAS_sjro\ARD1A\XRF data\L000017.spe	34.1	7.22	1	0.018321	-0.005735	0.009478	0.091452	9633	1.13	8	18	0	12	0	27	64	1404	725	42	0	251	23023	173	8	74	153	47	194	70	52	44	1131	558	0	0	0	40	21	24	0	118	11141	3635
C:\Data\BAS_sjro\ARD1A\XRF data\L000018.spe	36.04	7.29	1	0.018321	-0.005735	0.009478	0.091457	11136	1.12	0	30	0	24	10	33	67	1641	924	64	0	313	26294	245	0	71	109	0	46	74	141	0	1405	637	0	7	0	0	61	25	0	28	12647	4082
C:\Data\BAS_sjro\ARD1A\XRF data\L000019.spe	38.04	7.3	1	0.018321	-0.00577	0.009477	0.09145	11990	1.27	0	38	6	25	0	28	59	1939	1069	36	0	355	31222	278	0	58	106	0	44	88	89	48	1591	726	0	0	12	42	39	11	0	27	13124	4289
C:\Data\BAS_sjro\ARD1A\XRF data\L000020.spe	40.04	7.3	1	0.018321	-0.005793	0.009475	0.091459	10349	1.16	0	15	0	8	0	34	75	1561	795	57	0	282	24823	211	0	91	168	0	86	90	151	32	1313	614	0	0	12	56	30	43	19	119	11647	3962
C:\Data\BAS_sjro\ARD1A\XRF data\L000021.spe	42.04	7.36	1	0.01832	-0.005793	0.009475	0.091459	10758	1.07	0	30	0	28	4	35	64	1799	931	16	12	270	29181	213	12	135	168	0	0	15	177	0	1219	502	0	0	8	20	34	39	76	0	11073	3767
C:\Data\BAS_sjro\ARD1A\XRF data\L000022.spe	44.04	7.41	1	0.01832	-0.005793	0.009478	0.091459	11008	1.12	13	25	0	39	0	46	79	1458	858	26	9	249	24714	203	7	66	122	50	102	84	136	113	1361	708	0	0	0	17	25	50	0	24	13307	4362
C:\Data\BAS_sjro\ARD1A\XRF data\L000023.spe	46.04	7.41	1	0.01832	-0.005793	0.00948	0.091468	11967	1.23	0	25	0	31	0	32	85	1629	955	65	0	287	27733	254	26	141	154	119	60	0	195	19	1542	719	0	0	0	24	0	48	0	75	14056	4646
C:\Data\BAS_sjro\ARD1A\XRF data\L000024.spe	48.04	7.41	1	0.01832	-0.005793	0.009482	0.091468	11684	1.22	0	30	11	24	8	46	77	1451	906	26	16	289	25026	160	0	86	108	67	108	68	95	66	1444	763	0	24	0	8	0	62	0	73	13926	4642
C:\Data\BAS_sjro\ARD1A\XRF data\L000025.spe	50.04	7.41	1	0.01832	-0.005793	0.00948	0.091468	12531	1.12	0	32	13	23	0	45	70	1499	1083	70	0	399	27156	274	17	75	70	40	0	28	165	0	1506	719	6	0	0	0	9	27	0	74	14903	4769
C:\Data\BAS_sjro\ARD1A\XRF data\L000026.spe	52.04	7.41	1	0.01832	-0.005813	0.00948	0.091468	13118	1.11	0	33	25	31	20	60	86	1675	1241	64	5	358	30475	259	0	124	143	31	29	28	233	43	1608	624	0	4	0	68	45	64	24	95	15301	4972
C:\Data\BAS_sjro\ARD1A\XRF data\L000027.spe	54.04	7.44	1	0.01832	-0.005813	0.00948	0.091484	10755	1.18	13	9	9	27	0	88	54	1128	865	31	35	263	20432	210	30	100	146	28	0	64	55	0	1320	709	15	0	0	26	26	60	52	0	14061	4597
C:\Data\BAS_sjro\ARD1A\XRF data\L000028.spe	56.04	7.36	1	0.01832	-0.005783	0.009478	0.091484	10623	1.12	0	17	0	0	11	75	62	1033	795	46	0	232	21064	144	7	48	127	46	0	33	99	0	1445	752	7	0	0	27	19	66	78	16	13952	4645
C:\Data\BAS_sjro\ARD1A\XRF data\L000029.spe	58.04	7.31	0	0.01832	-0.005757	0.009478	0.091494	6576	1.18	0	8	0	18	0	59	15	208	178	0	0	60	5157	52	0	26	74	6	84	0	75	0	864	594	4	0	8	19	34	8	0	0	11040	3817
C:\Data\BAS_sjro\ARD1A\XRF data\L000030.spe	60.04	7.31	0	0.01832	-0.005757	0.009477	0.091488	6227	1.16	11	7	0	9	12	82	12	92	28	5	0	21	1646	27	0	23	76	36	38	22	33	57	1183	566	5	0	0	16	0	13	0	0	11713	4091
C:\Data\BAS_sjro\ARD1A\XRF data\L000031.spe	62.04	7.32	1	0.01832	-0.005757	0.009475	0.091488	10058	1.24	0	10	11	34	0	78	29	1327	296	8	9	224	10720	134	0	321	503	13	43	45	227	0	2428	635	0	5	0	48	29	52	0	0	14994	4538
C:\Data\BAS_sjro\ARD1A\XRF data\L000032.spe	64.04	7.31	1	0.01832	-0.005738	0.009475	0.091488	12109	1.15	0	22	31	51	0	34	92	2413	330	22	9	314	13628	94	0	705	932	0	0	35	374	71	3513	728	6	6	0	0	11	57	46	0	16879	4974
C:\Data\BAS_sjro\ARD1A\XRF data\L000033.spe	66.04	7.33	1	0.018321	-0.005709	0.009475	0.09148	9071	0.99	10	14	11	35	0	56	34	1308	186	0	0	159	8380	65	0	383	561	44	0	86	333	0	2909	547	0	14	0	0	0	12	66	0	13743	4049
C:\Data\BAS_sjro\ARD1A\XRF data\L000034.spe	68.1	7.31	1	0.01832	-0.005709	0.009476	0.091474	10029	1.1	6	23	0	19	0	40	59	1203	474	25	13	185	12298	130	0	241	378	0	5	95	261	0	3059	637	0	12	21	55	21	20	24	0	14645	4467
C:\Data\BAS_sjro\ARD1A\XRF data\L000035.spe	70.04	7.29	1	0.01832	-0.005709	0.009478	0.091468	11492	1.07	8	5	13	31	0	44	54	1984	322	5	0	263	13311	130	0	619	848	0	57	89	396	19	4031	603	0	17	0	0	32	10	0	52	16619	4717
C:\Data\BAS_sjro\ARD1A\XRF data\L000036.spe	72.04	7.34	1	0.01832	-0.005731	0.009479	0.091468	12447	1.1	0	15	19	75	9	30	82	2664	418	34	0	345	21641	169	0	691	957	0	0	155	400	0	3895	637	0	0	14	0	58	0	73	41	15665	4346
C:\Data\BAS_sjro\ARD1A\XRF data\L000037.spe	74.04	7.36	1	0.01832	-0.005731	0.009479	0.091461	11255	1.11	0	19	22	22	31	52	82	2113	337	19	22	262	15637	108	0	648	793	0	118	51	332	0	3129	642	11	31	8	0	27	32	0	40	15644	4392
C:\Data\BAS_sjro\ARD1A\XRF data\L000038.spe	76.04	7.36	1	0.01832	-0.005731	0.00948	0.091461	9942	1.04	5	15	0	29	0	45	51	963	415	23	0	128	11225	127	0	184	301	0	59	24	209	0	2759	589	0	0	0	45	0	51	32	53	15178	4376
C:\Data\BAS_sjro\ARD1A\XRF data\L000039.spe	78.04	7.36	1	0.01832	-0.005731	0.00948	0.091456	12882	1.17	0	40	11	37	0	21	75	1178	690	15	0	245	19476	159	0	151	399	6	0	83	359	65	2544	793	0	0	19	17	0	63	77	85	18106	5338
C:\Data\BAS_sjro\ARD1A\XRF data\L000040.spe	80.04	7.36	1	0.018319	-0.005731	0.009479	0.091456	13962	1.16	0	38	0	32	0	35	103	1391	661	62	4	236	20425	178	15	173	430	65	0	74	279	36	2775	768	0	36	0	55	0	52	88	46	20055	5519
C:\Data\BAS_sjro\ARD1A\XRF data\L000041.spe	82.04	7.37	1	0.01832	-0.005764	0.009481	0.091456	12161	1.21	0	24	5	23	0	49	78	1265	623	32	6	214	17212	102	0	128	385	38	4	141	166	33	2485	739	0	0	15	50	23	63	9	25	17790	5061
