C:\Data\ITRAX\YAN_Aug 2013_Mo-Tube_Reanalysed_USE\2 mm data\YAN8A2\2\XRF data     07/08/2013  re-evaluated data
peakarea
filename	position (mm)	sample surface	validity	E-gain	E-offset	F-slope	F-offset	kcps	MSE	Mg	Al	Si	P	S	Cl	Ar	K	Ca	Sc	Ti	V	Cr	Mn	Fe	Co	Ni	Cu	Zn	Ga	As	Se	Br	Rb	Sr	Y	Zr	Sn	Cs	Ba	Ta	W	Ir	Pt	Au	Hg	Pb	Th	U	D1	S1	S2	S3	Mo inc	Mo coh	
C:\Data\ITRAX\YAN_Aug 2013_Mo-Tube_Reanalysed_USE\2 mm data\YAN8A2\2\XRF data\L000000.spe	1.56	6.84	1	0.017891	-0.007645	0.007686	0.122432	7091.24414	1.89	0	0	18	0	26	8	110	11	9	0	0	0	8	8	116	0	10	0	34	0	0	50	76	40	984	122	516	0	0	0	28	43	34	0	0	0	37	93	71	13	16	0	2193395448354292	11394	3861	
C:\Data\ITRAX\YAN_Aug 2013_Mo-Tube_Reanalysed_USE\2 mm data\YAN8A2\2\XRF data\L000001.spe	3.53	6.39	1	0.017891	-0.007645	0.007684	0.122432	10590.36816	2.11	29	0	19	32	22	20	120	14	27	5	0	0	0	13	1110	154	0	16	59	0	0	47	72	6	1852	229	831	0	0	0	28	83	16	0	0	0	0	101	0	20	0	11	0	16345	6007	
C:\Data\ITRAX\YAN_Aug 2013_Mo-Tube_Reanalysed_USE\2 mm data\YAN8A2\2\XRF data\L000002.spe	5.47	6.29	1	0.017891	-0.007645	0.007684	0.122432	11990.89844	2.23	0	11	23	51	43	30	113	22	48	5	35	17	8	41	4004	206	0	42	108	0	0	78	0	139	2207	173	786	9	6	14	44	91	28	0	0	9	0	100	0	9	0	24	0	17352	6529	
C:\Data\ITRAX\YAN_Aug 2013_Mo-Tube_Reanalysed_USE\2 mm data\YAN8A2\2\XRF data\L000003.spe	7.50	6.23	1	0.017891	-0.007645	0.007684	0.122432	11662.51367	1.82	17	20	18	26	20	13	111	0	98	21	52	13	8	36	5561	173	0	69	77	11	11	30	32	142	1794	225	991	23	5	18	15	93	24	34	0	0	0	0	0	65	0	13	3657769181185644	16552	6144	
C:\Data\ITRAX\YAN_Aug 2013_Mo-Tube_Reanalysed_USE\2 mm data\YAN8A2\2\XRF data\L000004.spe	9.52	6.14	1	0.017891	-0.007645	0.007682	0.122432	17940.90039	1.43	0	20	11	23	44	11	36	125	1679	11	889	35	64	548	34461	455	0	129	177	19	43	0	31	163	2236	151	853	0	0	65	14	186	69	78	15	13	50	65	0	0	0	5	2693416234454804	18579	6773	
C:\Data\ITRAX\YAN_Aug 2013_Mo-Tube_Reanalysed_USE\2 mm data\YAN8A2\2\XRF data\L000005.spe	11.48	6.09	1	0.017891	-0.007645	0.007682	0.122432	20379.67773	1.83	0	0	19	0	33	7	84	119	1939	37	1023	81	76	672	44280	511	39	109	229	60	129	0	0	78	2563	172	1016	0	0	84	141	235	90	94	19	0	0	11	0	122	217	10	0	19309	7097	
C:\Data\ITRAX\YAN_Aug 2013_Mo-Tube_Reanalysed_USE\2 mm data\YAN8A2\2\XRF data\L000006.spe	13.47	6.08	1	0.017891	-0.007645	0.007682	0.122432	22078.09375	1.78	0	0	21	0	13	0	40	119	2386	4	1293	76	78	809	53847	545	0	157	265	0	116	88	0	0	2534	253	1356	0	0	35	123	320	114	53	0	60	0	0	0	166	206	0	5384577048849730	20078	7093	
C:\Data\ITRAX\YAN_Aug 2013_Mo-Tube_Reanalysed_USE\2 mm data\YAN8A2\2\XRF data\L000007.spe	15.48	6.09	1	0.017891	-0.007645	0.007682	0.122432	21696.11133	1.69	0	5	22	0	0	6	50	171	2589	0	1399	82	81	771	52418	765	0	178	308	72	0	85	0	148	2620	126	1102	0	0	54	92	257	64	14	46	76	109	38	0	0	58	0	1825882165102046	19641	7030	
C:\Data\ITRAX\YAN_Aug 2013_Mo-Tube_Reanalysed_USE\2 mm data\YAN8A2\2\XRF data\L000008.spe	17.53	6.10	1	0.017891	-0.007645	0.007682	0.122432	21664.61133	1.94	0	0	11	0	0	0	49	146	2742	0	1413	90	69	804	52714	788	0	149	243	38	0	106	0	40	2534	241	1069	0	0	32	55	219	73	33	54	0	35	45	9	0	10	9	0	19748	7021	
C:\Data\ITRAX\YAN_Aug 2013_Mo-Tube_Reanalysed_USE\2 mm data\YAN8A2\2\XRF data\L000009.spe	19.49	6.10	1	0.017891	-0.007645	0.007682	0.122432	22121.58984	1.92	8	0	0	0	9	0	39	157	2839	0	1534	109	109	811	55162	626	0	203	290	33	0	0	0	44	2588	264	1124	0	0	12	75	210	56	114	29	69	38	0	0	0	182	0	0	19650	7082	
