C:\Data\sjd\Yanou\YAN8B1\1     21/02/2008  re-evaluated data
peakarea
filename	position (mm)	sample surface	validity	E-gain	E-offset	F-slope	F-offset	kcps	MSE	Al	Si	P	S	Cl	Ar	K	Ca	Ti	V	Cr	Mn	Fe	Cu	Zn	As	Se	Br	Rb	Sr	Y	Zr	Cd	Ba	Ta	W	Au	Pb	Ra	Th	U	inc	coh	
C:\Data\sjd\Yanou\YAN8B1\1\XRF data\L000000.spe	1.43	6.98	1	0.017894	-0.008554	0.007146	0.126000	4299.000000	7.65	51	69	79	77	69	156	20	46	10	0	0	0	50	0	0	0	75	70	101	949	47	186	33	8	0	0	57	58	53	128	29	9384	3239	
C:\Data\sjd\Yanou\YAN8B1\1\XRF data\L000001.spe	3.42	6.45	1	0.017895	-0.008454	0.007146	0.126000	9624.000000	14.81	35	80	86	113	77	162	23	157	73	4	19	17	4983	0	0	0	107	175	85	2385	243	571	60	49	0	0	66	87	47	63	77	17530	6229	
C:\Data\sjd\Yanou\YAN8B1\1\XRF data\L000002.spe	5.42	6.30	1	0.017893	-0.008454	0.007146	0.126000	19050.000000	16.23	7	23	36	58	0	76	156	2501	817	17	0	489	51060	0	807	0	38	0	222	3127	266	790	0	0	100	127	39	17	48	86	0	20650	7131	
C:\Data\sjd\Yanou\YAN8B1\1\XRF data\L000003.spe	7.42	6.31	1	0.017892	-0.008354	0.006946	0.126000	15217.000000	15.45	47	32	19	51	18	100	130	1183	603	53	19	260	28772	0	609	0	79	19	235	3016	14	751	9	0	68	0	122	91	41	69	28	20459	7425	
C:\Data\sjd\Yanou\YAN8B1\1\XRF data\L000004.spe	9.42	6.28	1	0.017891	-0.008354	0.006846	0.126000	13740.000000	14.89	58	72	67	101	55	138	97	962	395	44	9	154	23316	0	28	0	61	50	221	2868	27	741	41	8	5	0	88	15	55	76	16	19805	6973	
C:\Data\sjd\Yanou\YAN8B1\1\XRF data\L000005.spe	11.42	6.25	1	0.017890	-0.008254	0.007046	0.126000	10167.000000	13.90	58	69	93	105	69	172	39	285	80	15	12	31	6332	0	0	0	115	140	169	2674	56	645	42	39	0	0	107	64	112	141	0	18315	6620	
C:\Data\sjd\Yanou\YAN8B1\1\XRF data\L000006.spe	13.42	6.16	1	0.017892	-0.008154	0.006946	0.126000	12434.000000	14.54	61	85	89	115	94	159	96	1389	490	27	27	233	20794	0	0	0	55	44	238	2448	0	528	68	24	9	0	149	97	94	76	0	17716	6298	
C:\Data\sjd\Yanou\YAN8B1\1\XRF data\L000007.spe	15.42	6.10	1	0.017896	-0.008154	0.006946	0.126000	18056.000000	15.56	10	33	0	58	11	82	205	2349	922	73	0	433	52385	39	51	0	84	0	217	2850	164	526	0	0	33	0	75	38	23	146	45	19114	6747	
C:\Data\sjd\Yanou\YAN8B1\1\XRF data\L000008.spe	17.42	6.09	1	0.017898	-0.008054	0.006946	0.126000	17966.000000	15.70	7	30	0	52	28	71	254	3476	833	19	0	544	48678	35	0	0	0	128	295	2985	160	745	0	0	45	24	35	33	14	27	0	18757	6628	
C:\Data\sjd\Yanou\YAN8B1\1\XRF data\L000009.spe	19.43	6.10	1	0.017895	-0.008054	0.006946	0.126000	17277.000000	15.76	0	45	10	51	24	50	240	2840	723	47	0	496	46596	69	26	0	96	6	153	2817	127	623	6	0	47	26	93	59	28	117	67	18414	6744	
C:\Data\sjd\Yanou\YAN8B1\1\XRF data\L000010.spe	21.41	6.10	1	0.017898	-0.008154	0.006946	0.126000	18581.000000	17.35	9	15	56	34	0	68	217	3001	935	47	0	555	52954	81	105	0	71	0	144	3086	31	750	0	0	45	87	21	95	0	0	84	18983	6670	
C:\Data\sjd\Yanou\YAN8B1\1\XRF data\L000011.spe	23.42	6.12	1	0.017897	-0.007854	0.006946	0.126000	19732.000000	18.28	0	53	15	98	11	60	283	3093	903	47	0	513	64409	31	64	27	43	0	179	3233	66	559	0	0	50	41	62	0	37	152	98	18226	6488	
C:\Data\sjd\Yanou\YAN8B1\1\XRF data\L000012.spe	25.43	6.13	1	0.017892	-0.007854	0.006946	0.126000	16532.000000	14.40	49	81	76	100	60	122	305	2935	703	58	28	518	43104	73	36	33	115	18	202	2827	123	646	25	0	62	38	111	34	93	188	0	17879	6401	
C:\Data\sjd\Yanou\YAN8B1\1\XRF data\L000013.spe	27.40	6.13	1	0.017896	-0.007954	0.006946	0.126000	18122.000000	15.88	9	32	26	84	29	96	240	2618	825	84	0	581	51020	39	93	21	44	0	166	3345	58	575	19	0	53	76	43	0	0	101	0	18407	6577	
C:\Data\sjd\Yanou\YAN8B1\1\XRF data\L000014.spe	29.42	6.15	1	0.017893	-0.008054	0.006946	0.126000	19982.000000	17.89	0	36	10	60	0	74	236	2721	1028	12	0	510	64643	83	102	0	25	0	296	3186	143	677	0	0	110	137	0	59	62	138	56	18663	6756	
