C:\Data\ITRAX\YAN_Aug 2013_Mo-Tube_Reanalysed_USE\2 mm data\YAN8B1\1\XRF data     06/08/2013  re-evaluated data
peakarea
filename	position (mm)	sample surface	validity	E-gain	E-offset	F-slope	F-offset	kcps	MSE	Al	Si	P	S	Cl	Ar	K	Ca	Ti	V	Cr	Mn	Fe	Co	Ni	Cu	Zn	As	Se	Br	Rb	Sr	Y	Zr	Sn	Cs	Ba	Ta	W	Ir	Pt	Au	Hg	Pb	Th	U	D1	S1	S2	S3	Mo inc	Mo coh	
C:\Data\ITRAX\YAN_Aug 2013_Mo-Tube_Reanalysed_USE\2 mm data\YAN8B1\1\XRF data\L000000.spe	1.43	6.98	1	0.017879	-0.007645	0.007443	0.122432	5869.70605	1.54	12	17	16	10	9	93	4	0	0	7	6	8	93	41	15	21	27	0	60	39	99	920	74	222	0	0	0	6	29	0	0	9	0	0	53	0	96	0	8	2593005859716036	9070	3192	
C:\Data\ITRAX\YAN_Aug 2013_Mo-Tube_Reanalysed_USE\2 mm data\YAN8B1\1\XRF data\L000001.spe	3.42	6.45	1	0.017880	-0.007645	0.007438	0.122432	12349.48145	1.84	12	31	27	48	0	112	10	79	59	0	7	29	4935	200	0	76	177	0	43	97	78	2343	290	640	7	5	7	68	173	30	19	0	0	0	0	43	41	0	14	0	17242	6126	
C:\Data\ITRAX\YAN_Aug 2013_Mo-Tube_Reanalysed_USE\2 mm data\YAN8B1\1\XRF data\L000002.spe	5.42	6.30	1	0.017881	-0.007645	0.007430	0.122432	22260.18359	1.40	0	0	5	26	0	55	154	2509	775	62	88	607	51082	496	0	158	972	46	0	0	210	3009	226	825	0	0	30	61	279	173	147	26	47	4	31	0	42	182	9	0	20431	7130	
C:\Data\ITRAX\YAN_Aug 2013_Mo-Tube_Reanalysed_USE\2 mm data\YAN8B1\1\XRF data\L000003.spe	7.42	6.31	1	0.017881	-0.007645	0.007431	0.122432	18379.27734	1.46	37	16	0	18	0	61	116	1161	621	56	39	307	28778	422	0	83	816	0	0	0	222	2947	27	833	0	0	0	117	137	75	96	46	61	86	33	0	0	8	0	0	20540	7591	
C:\Data\ITRAX\YAN_Aug 2013_Mo-Tube_Reanalysed_USE\2 mm data\YAN8B1\1\XRF data\L000004.spe	9.42	6.28	1	0.017881	-0.007645	0.007431	0.122432	16792.35547	1.39	24	38	11	46	0	90	93	925	378	39	23	212	23331	337	0	111	239	7	0	0	187	2815	73	826	0	0	0	64	188	75	69	0	0	0	0	0	38	0	0	5097272412572423	19808	7088	
C:\Data\ITRAX\YAN_Aug 2013_Mo-Tube_Reanalysed_USE\2 mm data\YAN8B1\1\XRF data\L000005.spe	11.42	6.25	1	0.017881	-0.007645	0.007431	0.122432	12970.54883	1.34	20	14	25	36	0	79	0	192	62	0	0	44	6325	196	0	80	116	48	40	59	123	2616	119	738	0	0	9	7	125	32	0	0	0	0	16	0	94	0	17	0	18122	6614	
C:\Data\ITRAX\YAN_Aug 2013_Mo-Tube_Reanalysed_USE\2 mm data\YAN8B1\1\XRF data\L000006.spe	13.42	6.16	1	0.017881	-0.007645	0.007430	0.122432	15202.03613	1.35	24	22	15	41	5	95	99	1281	473	11	21	263	20558	285	18	99	170	0	0	0	184	2372	48	605	0	0	0	70	108	47	20	30	23	13	0	0	44	54	17	0	17688	6317	
C:\Data\ITRAX\YAN_Aug 2013_Mo-Tube_Reanalysed_USE\2 mm data\YAN8B1\1\XRF data\L000007.spe	15.42	6.10	1	0.017881	-0.007645	0.007430	0.122432	20956.94727	1.67	0	0	0	20	0	48	199	2321	887	75	30	565	52261	521	0	171	230	0	41	0	187	2784	155	565	0	0	0	64	177	104	90	11	0	38	145	0	0	48	13	0	19227	6942	
C:\Data\ITRAX\YAN_Aug 2013_Mo-Tube_Reanalysed_USE\2 mm data\YAN8B1\1\XRF data\L000008.spe	17.42	6.09	1	0.017881	-0.007645	0.007430	0.122432	20935.84766	1.57	0	14	0	24	0	45	250	3363	766	39	46	637	48745	486	0	215	173	51	0	99	242	2836	141	797	7	0	52	69	211	130	112	0	15	0	0	0	76	168	0	3637813797323428	18937	6902	
C:\Data\ITRAX\YAN_Aug 2013_Mo-Tube_Reanalysed_USE\2 mm data\YAN8B1\1\XRF data\L000009.spe	19.43	6.10	1	0.017881	-0.007645	0.007430	0.122432	20149.08984	1.47	0	26	0	30	7	46	245	2779	689	57	60	572	46568	577	0	225	224	57	73	0	130	2750	129	695	0	0	0	87	186	123	91	67	71	13	32	26	114	60	20	4344702846643080	18672	6974	
