"Core","depth_cm","Group","Guano_Zone","Guano_Sum","SH20_age","kcps","MSE","Mg","Al","Si","P","S","Cl","Ar","K","Ca","Sc","Ti","V","Cr","Mn","Fe","Co","Ni","Cu","Zn","Ga","Ge","As","Se","Br","Rb","Sr","Zr","Nb","Mo","In","Sn","Sb","Te","I","Cs","Ba","La","Ce","Pr","Nd","Sm","Eu","Gd","Tb","Dy","Ho","Ta","W","Os","Ir","Pt","Au","Hg","Pb","Bi","Th","U","Mo_inc","Mo_coh","TS_sum","inc_coh","coh_inc","cps_sum"
"ARD1A",11.4,"Unit 13","ARD NON GUANO",2,1030.42,10586.56934,0.97,0.000115035085701139,0.000230070171402278,0.000891521914183826,0,0.000603934199930979,0.000172552628551708,0.00221442539974692,0.000891521914183826,0.0184056137121822,0.000143793857126424,0.012222477855746,0.00097779822845968,0.000632692971356264,0.00520533762797653,0.356810077073507,0.00129414471413781,0,0.00103531577131025,0.00270332451397676,0.00100655699988497,0,0,0.00109283331416082,0,0.000603934199930979,0.0358909467387553,0.0210226619118831,0.000143793857126424,0.000345105257103417,0.000172552628551708,0,0.000402622799953986,0.000431381571379271,0.000258828942827562,0,0,0.000546416657080409,0.000517657885655125,0,0.000431381571379271,0.000172552628551708,0,0.000431381571379271,0.00227194294259749,0,0.000172552628551708,0.00115035085701139,0.000316346485678132,0,0,0.000834004371333257,0,0.00253077188542505,0.000287587714252847,0.000690210514206833,0,0,0.3989991947544,0.12472679167146,18211,3.19898547382984,0.312599106241891,34772
"ARD1A",11.6,"Unit 13","ARD NON GUANO",2,1062.78,13329.53125,1.26,0,0,0.000185839063371121,0.00012389270891408,0.00097049288649363,0.00012389270891408,0.000805302607941523,0.0013834685828739,0.0265130397076132,8.25951392760536e-05,0.015362695905346,0.000702058683846456,0.000412975696380268,0.00510024985029631,0.433170207933263,0.000702058683846456,0.000103243924095067,0.00206487848190134,0.00229201511491049,0.00109438559540771,0.000536868405294348,0,0,0.00344834706477524,0.00154865886142601,0.0326870263684982,0.0179850915773607,0,0,0,0.00012389270891408,0,0.000206487848190134,0.000103243924095067,0,0,0.000702058683846456,0.000598814759751389,0.000103243924095067,8.25951392760536e-05,0.000185839063371121,0.00177579549443515,0.0016932003551591,0.00402651303970761,0.00105308802576968,0,0,0.000660761114208429,0.000454273266018295,0.000474922050837308,0.000412975696380268,0.000371678126742241,0.000206487848190134,0.00284953230502385,0.00150736129178798,0,0,0.338185797765801,0.0968221520163538,21067,3.49285561953508,0.286298693369154,48429
"ARD1A",11.8,"Unit 13","ARD NON GUANO",2,1095.15,10465.1748,1.12,0,0.000334496105509629,0.000573421895159363,0,0.000645099632054284,0,0.000907918000668992,0.00179194342237301,0.0304869307593062,0,0.0177044010130453,0.000358388684474602,0,0.00628374826778802,0.520643188225737,0.00458737516127491,0,0.00253261337028719,0.00344053137095618,0.00107516605342381,0.000740669947914178,0.00191140631719788,0.000955703158598939,0.00129019926410857,0,0.0277153915993692,0.016199168538252,0,0,0,0,0,0.000716777368949204,0,0,0,0,0.000716777368949204,0.000262818368614708,0.000167248052754814,0.00047785157929947,0.000358388684474602,0.0011707363692837,0.00332106847613131,0.000191140631719788,0.000740669947914178,0,0.00105127347445883,0.00109905863238878,0.000692884789984231,0.000406173842404549,0.00114684379031873,0.000716777368949204,0,0.00107516605342381,0,0.00100348831652889,0.26138481387681,0.0831222822191427,14419,3.14458177637252,0.31800731261426,41854
"ARD1A",12,"Unit 13","ARD NON GUANO",2,1127.52,10582.66699,1.25,0,0,0.000371971916120333,0,0,0,0.00106941925884596,0.00181336309108662,0.0327567768633468,0,0.0182731203794114,0.000883433300785791,0.000371971916120333,0.00655600502162087,0.541428372157902,0.00548658576277491,0,0.00086018505602827,0.00232482447575208,0.00197610080438927,0.000604454363695541,0.00104617101408844,0.00030222718184777,0.00104617101408844,0.000488213139907937,0.0253870832752127,0.0141349328125727,0,0.000464964895150416,0.000209234202817687,0,0,0.000999674524573395,0.000232482447575208,0,0.000232482447575208,0.000209234202817687,0,0,0.000395220160877854,0.000441716650392895,0.000790440321755707,0.00130190170642117,0.00381271214023341,0.00086018505602827,0.000534709629422979,9.29929790300832e-05,0,0,0,0.000325475426605291,0.00104617101408844,9.29929790300832e-05,0.000139489468545125,0.00030222718184777,0.000534709629422979,0,0.253266378388432,0.0765332217417585,14186,3.30923450789793,0.302184688819534,43014
"ARD1A",12.2,"Unit 13","ARD NON GUANO",2,1159.89,10957.5498,1.13,0,0,0.00022578969947391,0,0.000338684549210865,0,0.000632211158526948,0.0017611596558965,0.0312492944071891,0.000112894849736955,0.0164149111517533,0.00117410643726433,0,0.0075187969924812,0.521167784325679,0.00298042403305561,0,0.00173858068594911,0.00435774119984646,0.00167084377610693,0.00128700128700129,0.00465126780916255,0.00149021201652781,0.000406421459053038,0.00139989613673824,0.0257400257400257,0.0143150669466459,0,0,0,0.000135473819684346,0.000112894849736955,0.000541895278737384,0,0,0,0,0.000135473819684346,9.0315879789564e-05,0.000429000429000429,0.000383842489105647,0,0.00090315879789564,0.00415453047031994,0.000835421888053467,0.000835421888053467,0.000564474248684775,0.00130958025694868,0.00101605364763259,0.000519316308789993,0.000745106008263903,0.000203210729526519,0.000519316308789993,0,0.00112894849736955,0,0,0.264354580144054,0.0804488699225541,15271,3.28599494807746,0.304321831226512,44289
"ARD1A",12.4,"Unit 13","ARD NON GUANO",2,1192.26,12618.46582,1.21,0,0,0.000674014749028626,0.000158591705653794,0.000257711521687416,0.000297359448100864,0.000773134565062247,0.000991198160336214,0.0331258425184363,7.92958528268971e-05,0.0180992784077393,0.00158591705653794,0.000218063595273967,0.00723574657045437,0.521806359527397,0.00432162397906589,0,0.00136785346126398,0.00299341844421537,0.000614542859408453,0.000535247006581556,0.00105067004995639,0.0014669732772976,0.00208151613670605,0.000257711521687416,0.0282689715327888,0.0140750138767742,0.000118943779240346,0.00013876774244707,0.00041630322734121,7.92958528268971e-05,0,0,0.000158591705653794,0.00013876774244707,0.000515423043374831,0,0,0,0.000118943779240346,0.000574894932995004,0.000158591705653794,0.00083260645468242,0.0049758147648878,0.000218063595273967,0.00118943779240346,0.000574894932995004,0.00027753548489414,0.000792958528268972,0.00111014193957656,0.000674014749028626,0.00112996590278328,0.000872254381095869,0,0.00164538894615812,0,0,0.261715962255174,0.079236380937277,17199,3.30297723292469,0.302757158006363,50444
"ARD1A",12.6,"Unit 13","ARD NON GUANO",2,1224.63,13446.62305,1.25,0.000105922852855504,0,0.000865036631653279,0.000211845705711007,0,0.000123576661664754,0.000670844734751523,0.00144761232235855,0.0338246976785241,0,0.0187836525730426,0.00100626710212728,0.000476652837849766,0.00663783211227822,0.554258981375232,0.00317768558566511,0,0.00111218995498279,0.00199488039544532,0,0,0.00030011474975726,0.00060022949951452,0,0.0014299585135493,0.0287050931238415,0.014440815605967,0.000141230470474005,0.000529614264277518,0,0.000441345220231265,0,0.000370729984994263,0.000635537117133021,0,0.000194191896901757,0.000105922852855504,0,0,0.000476652837849766,0.000441345220231265,0.00102392091093653,0.00130638185188454,0.00376026127637038,0.000847382822844029,0.000776767587607026,0.000441345220231265,0.000653190925942272,0,0.000458999029040516,0,0,0.00120045899902904,0,0,0.000423691411422014,0,0.242210256862918,0.0733868832200547,17877,3.30045706038008,0.30298833819242,56645
"ARD1A",12.8,"Unit 13","ARD NON GUANO",2,1257,11675.71191,1.12,0.000126512883228609,0,0.000442795091300131,0.000210854805381015,0,0,0.000801248260447856,0.0013705562349766,0.0318601610930713,0,0.0171214101969384,0.00118078691013368,0.000274111246995319,0.00683169569434487,0.526905073166617,0.00324716400286763,0,0.00215071901488635,0.00400624130223928,0,0.000231940285919116,0.00166575296251002,0.0014338126765909,0.00248808670349597,0.00107535950744317,0.0287184244928942,0.0145911525323662,0,0.000189769324842913,0.000274111246995319,0,0.000316282208071522,0.00086450470206216,0,0,0,0,0.000506051532914435,8.43419221524059e-05,0,0.000611478935604942,0.000337367688609623,0.0013705562349766,0.00231940285919116,0.000737991818833551,0.000527137013452537,0.000484966052376334,0.00122295787120988,0,0.000484966052376334,0.000843419221524059,0.000611478935604942,0.000210854805381015,0.000421709610762029,0.000379538649685826,0,0.00132838527390039,0.257200691603762,0.0819381773710623,16084,3.13896037056099,0.318576815871454,47426
"ARD1A",13,"Unit 12","ARD GZ 5",3,1289.37,12100.3916,1.02,0,0,0.000547281185254681,0,0.000547281185254681,0.00013682029631367,0.000781830264649545,0.00084046753449826,0.0349282670732184,0.000215003322778625,0.0183339197060318,0.000254094836011102,0.000762284508033306,0.00723192994800829,0.571381103162503,0.0025800398733435,0,0.00263867714319221,0.00387005981001525,0,0.000723192994800829,0,0,0.00189593839177515,0,0.0242953754739846,0.0111997185411047,0,0,0.000488643915405965,0,0,0.000645009968335874,0,0,0,0.000684101481568351,0.000449552402173488,0,0.000156366052929909,0.000684101481568351,0,0.00134865720652046,0.00549235760916305,0.00103592510066065,0.00150502325945037,0.00070364723818459,0.000527735428638443,0,0.000938196317579453,0.00070364723818459,0,0.00101637934404441,0.00125092842343927,0,0.000156366052929909,0,0.227219420663774,0.0718306555646769,15300,3.16326530612245,0.316129032258064,51162
"ARD1A",13.2,"Unit 12","ARD GZ 5",3,1321.73,12724.3623,1.11,0.000202384084515594,0.000425006577482747,0.000607152253546781,0,0.000566675436643662,0,0.00105239723948109,0.00200360243670438,0.0294266458885673,0,0.0174252696767926,0.000607152253546781,0.0006476290704499,0.00611199935237093,0.500637509866224,0.00252980105644492,0,0.000890489971868612,0.00271194673250896,0.000445244985934306,0.000465483394385865,0.00196312561980126,0.000870251563417053,0.00244884742263868,0.00224646333812309,0.0276659043532817,0.0157859585922163,0,0.000141668859160916,0,0.000425006577482747,0,0.000364291352128069,0.000263099309870272,0,0,0.000161907267612475,0.000202384084515594,0.000202384084515594,0.000222622492967153,0.000505960211288984,0.000465483394385865,0.000667867478901459,0.00552508550727571,0.000303576126773391,0.00159883426767319,0.000465483394385865,0.000566675436643662,0.00032381453522495,0.000910728380320172,0.000728582704256137,0,0,0,0,0,0,0.281536499969642,0.0866811033980288,18194,3.24795703945832,0.307885845733592,49411
