"rowname","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se","Q0.25","Q0.75"
"kcps",1,1505,14593.1762882259,1761.77078132879,14667.66309,14579.2433157676,1682.071954374,10172.08887,20400.07422,10227.98535,0.101104194346716,0.0517898849729366,45.4131004409195,13409.72461,15713.91113
"MSE",2,1505,1.16883056478405,0.155514207537523,1.15,1.15375933609959,0.0741299999999997,0.95,3.33,2.38,7.61056197862532,80.6271970553273,0.00400868399098142,1.1,1.21
"Mg",3,1505,8.20863787375415,10.6940804274417,4,6.27551867219917,5.9304,0,54,54,1.35470663296184,1.4398754756947,0.275660916687689,0,14
"Al",4,1505,6.57873754152824,8.67233463565599,0,5.02240663900415,0,0,52,52,1.32411134137655,1.30361587050316,0.223546449992356,0,11
"Si",5,1505,20.5853820598007,15.5380726303929,19,19.4124481327801,16.3086,0,80,80,0.570424550335786,-0.0609555073865535,0.4005243250147,8,31
"P",6,1505,9.07840531561462,9.78705275916146,7,7.650622406639,10.3782,0,54,54,0.979757584443853,0.390339970221671,0.25228049794148,0,15
"S",7,1505,17.1787375415282,18.8212638560534,13,14.4979253112033,19.2738,0,238,238,1.9952000416632,12.9415144666022,0.485155024125972,0,28
"Cl",8,1505,7.01196013289037,63.5108561288683,0,3.79668049792531,0,0,2281,2281,32.4470598549792,1116.88529221129,1.6371169956024,0,9
"Ar",9,1505,35.6318936877076,21.5226264707971,33,34.645643153527,22.239,0,105,105,0.423186612542039,-0.441582220214116,0.554787948596528,19,51
"K",10,1505,69.4451827242525,37.5504423825008,67,67.2282157676349,37.065,0,212,212,0.587257795576795,0.305549076383706,0.967936368107595,42,91
"Ca",11,1505,1883.64318936877,674.513592177633,1916,1901.33609958506,717.5784,30,4236,4206,-0.198480057126967,-0.216124638224755,17.386911983649,1413,2381
"Sc",12,1505,10.9176079734219,13.6262756427215,6,8.53941908713693,8.8956,0,76,76,1.29922472390025,1.28858574206933,0.351244004587156,0,19
"Ti",13,1505,547.187375415282,282.016644436902,551,535.409128630705,286.1418,0,1509,1509,0.287745135323417,-0.393670640923076,7.26953264042922,319,721
"V",14,1505,25.9355481727575,19.164995173714,24,24.5219917012448,20.7564,0,95,95,0.605552796235205,0.0385267756801175,0.494015373621517,11,38
"Cr",15,1505,25.8724252491694,15.489004027906,25,25.3360995850622,14.826,0,114,114,0.523910663238922,0.876285730444268,0.399259485458473,15,36
"Mn",16,1505,369.861129568106,129.875083130438,379,371.173443983402,106.7472,13,1909,1896,1.10248211914353,13.4704534804419,3.34778522693335,296,444
"Fe",17,1505,21578.8936877076,8548.74864921256,22266,21662.2132780083,8747.34,333,49960,49627,-0.110253580531202,-0.444617570324511,220.360778578728,15330,27195
"Co",18,1505,158.778073089701,74.9371096089948,157,157.908713692946,75.6126,0,488,488,0.158602179781238,-0.208472861828966,1.93165111006025,109,211
"Ni",19,1505,3.35415282392027,8.23936437853477,0,1.09294605809129,0,0,61,61,3.08618041769821,10.7293630617302,0.212385791646242,0,0
"Cu",20,1505,280.596013289037,200.791125421233,233,260.196680497925,197.1858,0,1121,1121,0.882280314958672,0.379544290159796,5.17578543306423,124,404
"Zn",21,1505,370.581395348837,232.702968885455,314,340.521991701245,210.5292,0,1676,1676,1.30238736224998,2.13658952798219,5.99837584485579,190,491
"Ga",22,1505,32.1421926910299,32.4078847072676,26,27.9900414937759,38.5476,0,183,183,0.907883459359214,0.3725011623473,0.835376848615257,0,53
"Ge",23,1505,16.3980066445183,23.3345892300364,0,11.8439834024896,0,0,142,142,1.61118053323206,2.56972648168753,0.601494845800531,0,29
"As",24,1505,44.0790697674419,49.848344412061,30,36.1161825726141,44.478,0,243,243,1.15757752019988,0.815352427864257,1.28493893507024,0,73
"Se",25,1505,62.3189368770764,48.2223277381551,58,58.2954356846473,50.4084,0,281,281,0.685477960648079,0.288598052960596,1.24302516324857,24,93
"Br",26,1505,177.467109634551,141.035434429008,158,163.815767634855,152.7078,0,637,637,0.738333850733852,-0.0428816610069056,3.63546519066601,57,265
"Rb",27,1505,55.8053156146179,47.5731796134541,49,51.0282157676349,54.8562,0,244,244,0.715376582373144,0.035828687777129,1.22629209598437,13,86
"Sr",28,1505,3196.68704318937,1191.4174838162,3001,3115.03734439834,1160.8758,1041,8318,7277,0.632786385415154,0.00900070652355822,30.7111245305158,2340,3939
"Zr",29,1505,838.879734219269,113.660595072654,841,841.522821576763,106.7472,401,1206,805,-0.310083212292353,0.627231311090346,2.92982496639885,770,913
"Nb",30,1505,3.92093023255814,5.23792879583736,0,3.02655601659751,0,0,26,26,1.12775320731972,0.43530622770048,0.135017897350038,0,7
"Mo",31,1505,8.88372093023256,9.35231834819036,7,7.60829875518672,10.3782,0,44,44,0.885749237418545,0.128668333707497,0.241074365066655,0,15
"In",32,1505,11.0797342192691,12.9354070383758,7,8.95601659751037,10.3782,0,70,70,1.25675648304152,1.41606929806197,0.333435510058166,0,19
"Sn",33,1505,6.83720930232558,8.11728833209729,5,5.5344398340249,7.413,0,51,51,1.14073625717019,0.957101813042364,0.209239041900447,0,12
"Sb",34,1505,6.69700996677741,9.89532437624981,0,4.67551867219917,0,0,54,54,1.6035980709212,2.24937650490989,0.25507141142117,0,12
"Te",35,1505,21.063122923588,21.5036643853131,16,18.1585062240664,23.7216,0,107,107,0.92409938076835,0.232990839773707,0.554299163618493,0,35
"I",36,1505,7.45116279069767,8.59570110211566,5,6.15186721991701,7.413,0,51,51,1.08695001444101,0.913056931476897,0.221571070225197,0,13
"Cs",37,1505,5.30365448504983,7.18284330649405,0,4.01078838174274,0,0,39,39,1.31779302394263,1.2729346514755,0.185151886945913,0,10
"Ba",38,1505,12.8710963455149,15.1034331179644,8,10.4390041493776,11.8608,0,84,84,1.24089033117427,1.40431023438807,0.389320638336107,0,22
"La",39,1505,8.94019933554817,9.75370285456413,7,7.53941908713693,10.3782,0,52,52,0.990170071028981,0.492319772520199,0.251420838680909,0,15
"Ce",40,1505,10.5926910299003,11.5282181435256,8,8.8655601659751,11.8608,0,62,62,1.0818973408545,0.81718420897735,0.297162453824949,0,17
"Pr",41,1505,13.4053156146179,11.5571187154087,12,12.3651452282158,16.3086,0,53,53,0.513044239840024,-0.559254410574728,0.297907422800275,0,22
"Nd",42,1505,12.7621262458472,10.9972446136791,12,11.6979253112033,13.3434,0,54,54,0.594779714472405,-0.23818922991304,0.283475568733006,0,20
"Sm",43,1505,15.6478405315615,11.5692685905045,15,14.8705394190871,11.8608,0,61,61,0.476538747518465,-0.212070084175497,0.298220609682426,7,24
"Eu",44,1505,25.3913621262458,25.8494578900577,20,21.9294605809129,29.652,0,150,150,0.943227750984346,0.385966455850602,0.666320522479725,0,42
"Gd",45,1505,52.9049833887043,23.3518902804591,53,52.795020746888,23.7216,0,127,127,0.0610071413736609,-0.305460910764769,0.601940814339065,36,69
"Tb",46,1505,164.421926910299,86.2641334257723,161,162.772614107884,96.369,0,387,387,0.160805358480842,-0.702348696704178,2.22362738514641,97,226
"Dy",47,1505,31.4963455149502,28.389205014757,27,28.3717842323651,32.6172,0,153,153,0.764046807559309,-0.00222632589586524,0.731787490425186,6,51
"Ho",48,1505,34.4983388704319,22.5003582395709,33,33.6340248962656,25.2042,0,103,103,0.299078437842489,-0.519797753875859,0.57999090433298,17,50
"Ta",49,1505,28.2890365448505,23.4544214674263,25,25.9452282157676,25.2042,0,121,121,0.774923380349101,0.325631070142621,0.604583756963279,9,43
"W",50,1505,35.6232558139535,20.8654406390769,36,35.3278008298755,22.239,0,107,107,0.161727145605487,-0.398269518600945,0.537847693654991,20,50
"Os",51,1505,23.1408637873754,22.5342844125882,19,20.2788381742739,28.1694,0,128,128,0.9422931545726,0.71565403388847,0.580865418043356,0,38
"Ir",52,1505,21.7448504983389,26.0328150961313,13,17.3676348547718,19.2738,0,153,153,1.30141975990293,1.505282650757,0.671046914416879,0,37
"Pt",53,1505,36.0518272425249,27.5793096865981,34,33.8713692946058,29.652,0,155,155,0.622050888394514,0.0845123399560186,0.710910848427202,14,54
"Au",54,1505,40.6923588039867,30.8083100721028,38,38.3526970954357,34.0998,0,186,186,0.605204866397986,0.0950283157551666,0.794144672250807,16,61
"Hg",55,1505,35.6956810631229,32.7016719707945,30,31.7651452282158,37.065,0,172,172,0.82492325398675,0.124694181328406,0.842949792069766,5,56
"Pb",56,1505,28.1933554817276,35.7997973141737,12,21.9128630705394,17.7912,0,224,224,1.39877586007865,1.91243255051505,0.922810054760307,0,49
"Bi",57,1505,30.6671096345515,31.3439038272557,23,26.2854771784232,34.0998,0,164,164,0.967590358957215,0.360941231779334,0.807950652720037,0,50
"Th",58,1505,15.934219269103,30.0546542014264,0,8.47551867219917,0,0,186,186,2.25163545433018,5.06600842135017,0.774717712673746,0,20
"U",59,1505,15.5435215946844,26.7603802604871,0,9.3195020746888,0,0,172,172,2.01690202120753,4.09717659288,0.689801334819563,0,23
"Mo_inc",60,1505,17694.1667774086,3867.95437829426,17588,17597.531120332,3583.4442,8088,31454,23366,0.238632123413075,-0.0108131296573997,99.7041173255728,15334,20182
"Mo_coh",61,1505,5159.87043189369,566.239895719239,5199,5163.00746887967,483.3276,2868,7116,4248,-0.154069668842817,1.18846844406829,14.5959449041144,4834,5492
"TS_sum",62,1505,22854.0372093023,4356.81111529513,22787,22751.7767634855,3967.4376,11134,37457,26323,0.220289041856871,0.0953554387029274,112.305359401966,20268,25523
"inc_coh",63,1505,3.4010569742716,0.479054966221895,3.43086133642333,3.40844648597345,0.515712251308835,2.41689604065213,5.23971347659504,2.82281743594291,-0.0774164291055876,-0.546112540561452,0.0123485821925981,3.07932474133237,3.77214055216924
"coh_inc",64,1505,0.300213184842971,0.044528100295453,0.291471995496763,0.296658740644802,0.0437119094374646,0.190850130349081,0.413753832676303,0.222903702327222,0.620470285859748,-0.474714590100783,0.0011477991987332,0.26510146856138,0.324746522046687
"cps_sum",65,1505,53472.8990033223,7272.53817218285,54694,54166.9858921162,6438.9318,28482,81309,52827,-0.83479187322277,0.569963391863904,187.463948190048,49828,58745
