"Record","Section","Strat_Depth_cm","SH20_95CI_min_age","SH20_95CI_max_age","SH20_median_age","SH20_mean_age","Type","Group","Guano_Zone","Guano_Sum","Si","Ti","Al","Fe","Mn","Mg","Ca","Na","K","P","Location","Location1","Location2","Reference"
"ARD","ARD1A",0,-56.88,-56.3,-56.6,-56.6,"Freshwater","Unit A13","ARD GZ 0","Non Guano",21.6137590504,0.73118734946,7.18709276642,5.09130419905,0.08518960219,1.5075673,4.36699359733,2.0029964688,0.43167409428,1.22631700626,"Ardley Island","Ardley Island","SSI","Roberts et al. (2017)"
"ARD","ARD1A",1,36.15,49.66,42.72,42.76,"Freshwater","Unit A12","ARD GZ 0","Non Guano",20.56672574,0.72519401053,7.33528024614,5.02134734746,0.08518960219,1.4231435312,4.67432702562,1.95106693072,0.44827694406,1.69327757448,"Ardley Island","Ardley Island","SSI","Roberts et al. (2017)"
"ARD","ARD1A",2,128.85,155.77,142.03,142.11,"Freshwater","Unit A12","ARD GZ 0","Non Guano",21.75866098175,0.77314072197,7.50992977581,5.23899088574,0.08518960219,1.5196278384,4.40987733151,2.09943703952,0.44827694406,1.26995818086,"Ardley Island","Ardley Island","SSI","Roberts et al. (2017)"
"ARD","ARD1A",6,481.02,556.65,512.81,514.1,"Freshwater","Unit A12","ARD GZ 0","Non Guano",23.8200078116,0.85105412806,7.84335160518,5.43331547349,0.08518960219,1.748778068,4.11683848128,2.31457369728,0.43167409428,0.61970467932,"Ardley Island","Ardley Island","SSI","Roberts et al. (2017)"
"ARD","ARD1A",7,547.29,668.04,583.56,588.03,"Freshwater","Unit A12","ARD GZ 0","Non Guano",26.17115850415,0.86903414485,8.28262163435,5.61209409422,0.08518960219,1.7849596832,4.2169005277,2.47778081696,0.72222396543,0.62406879678,"Ardley Island","Ardley Island","SSI","Roberts et al. (2017)"
"ARD","ARD1A",8,606.36,780.68,654.58,661.95,"Freshwater","Unit A12","ARD GZ 0","Non Guano",24.1004631626,0.86304080592,7.92803016502,5.50327232508,0.08518960219,1.7909899524,4.1454276374,2.35908472992,0.43997551917,0.57606350472,"Ardley Island","Ardley Island","SSI","Roberts et al. (2017)"
"ARD","ARD1A",9,661.12,894.54,726.21,735.87,"Freshwater","Unit A12","ARD GZ 0","Non Guano",26.59184153065,0.89300750057,8.30379127431,6.00851625323,0.09293411148,1.869383452,4.39558275345,2.5593843768,0.7471282401,0.55860703488,"Ardley Island","Ardley Island","SSI","Roberts et al. (2017)"
"ARD","ARD1A",11,882.68,1106.63,959.93,967.12,"Freshwater","Unit A12","ARD GZ 0","Non Guano",24.2687363732,0.9589342288,8.35142296422,6.45934929681,0.10067862077,2.0563217972,4.88159840749,2.61131391488,0.44827694406,0.61534056186,"Ardley Island","Ardley Island","SSI","Roberts et al. (2017)"
"ARD","ARD1A",13,1119.03,1403.26,1295.85,1281.77,"Freshwater","Unit A12","ARD GZ 0","Non Guano",18.3511284671,0.61132057086,6.93834949689,4.84256872673,0.0774450929,1.1517814172,5.18178454675,1.81011532736,0.54789404274,2.38717225062,"Ardley Island","Ardley Island","SSI","Roberts et al. (2017)"
"ARD","ARD1A",15,1309.81,1810.73,1622.13,1596.42,"Freshwater","Unit A12","ARD GZ 5","Guano",20.87990088195,0.70122065481,7.72162617541,4.84256872673,0.08518960219,1.447264608,4.88159840749,2.0029964688,0.46487979384,1.71946227924,"Ardley Island","Ardley Island","SSI","Roberts et al. (2017)"
