"Core","depth_cm","Group","Guano_Zone","Guano_sum","SH20_age","kcps","MSE","Mg","Al","Si","P","S","Cl","Ar","K","Ca","Sc","Ti","V","Cr","Mn","Fe","Co","Ni","Cu","Zn","Ga","As","Se","Br","Rb","Sr","Y","Zr","Sn","Cs","Ba","Ta","W","Ir","Pt","Au","Hg","Pb","Th","U","Mo_inc","Mo_coh","TS_sum","inc_coh","coh_inc","cps_sum"
"YAN 8A-I_200um",0.02,"Unit 8","YAN FW",1,-52.85,18364.04688,1.33,NA,-4.0802100512872,-3.28697941217027,NA,-3.36108738432399,-4.72206393745959,-1.58656972153044,-1.53158758711309,0.172786323642955,NA,0,-2.850261760558,-5.23288956122558,-0.910966850621405,4.02839737836871,-1.56932791509593,NA,-1.93705269522125,-2.6301998757812,NA,-3.65735320046716,-2.5360126607215,NA,-2.06882197285238,0.229528816002882,-4.62675375765527,-0.865553641961703,NA,NA,-5.63835466933375,-1.55237835678216,-0.97255986152922,-1.98769642804001,-2.10466810462551,-2.68084360859995,-2.42952918031905,-3.84659520010569,NA,NA,2.354082992783,1.34055780396472,16129,2.75529685681024,0.362937299307081,86624
"YAN 8A-I_200um",0.04,"Unit 8","YAN FW",1,-49.7,23229.83008,1.45,-4.84699528824788,-4.44153018013972,-3.19559317671475,-4.19021575185881,-3.61485160695525,-5.28882804052692,-2.12946634319113,-1.68999486709777,0.154551208530494,NA,0,-2.83209226770562,-3.57402961243499,-1.04351245139494,3.95301099850863,-2.48884034409903,NA,-2.41087880262931,-2.89093276772855,NA,NA,-5.54014246880783,NA,-2.01378194419167,-0.0878785248926753,NA,-1.00908025497346,-5.18346752486909,NA,NA,-1.98072108193078,-1.25360460131262,-2.9217044263953,-2.42345758483617,-2.46877278104822,-2.65773888056084,-2.55157868473245,-3.70186298394488,NA,1.96212285417024,0.959429725999097,17339,2.72561237645037,0.366890027591644,120012
"YAN 8A-I_200um",0.06,"Unit 8","YAN FW",1,-46.55,25651.91016,1.31,-4.73481244678662,NA,-3.34851808566673,-5.59980988427322,-3.70895951240094,NA,-2.45350475223986,-1.61779450702504,0.147191709502955,NA,0,-2.92566123484669,-3.63620015811851,-1.0059534581854,3.9085124586149,-2.19861250261107,NA,-2.35137525716348,-2.52019612673853,-3.56837756177975,NA,-4.90666270371328,NA,-1.71824608632979,-0.140756426539593,-3.99037197183912,-1.32662202963349,NA,NA,-5.11430206849152,-2.11090692219196,-1.16750609630833,-3.07408123996497,-2.71640679569315,-2.95186360724072,-2.47524473887626,-2.52019612673853,NA,-4.31195559596658,1.80424096669058,0.776279105071072,17842,2.79536268878962,0.357735332166502,137284
"YAN 8A-I_200um",0.08,"Unit 8","YAN FW",1,-43.4,27061.84375,1.34,-4.67193836245293,-5.9247013309483,-3.34701294770933,-5.23155415038835,-4.25072489737663,-6.33016643905646,-2.67950819776273,-1.54476020276544,0.144495564700035,NA,0,-3.03432957305214,-3.35975197348676,-0.959528410928801,3.96328333713435,NA,NA,-2.65386576714939,-2.8412634769752,-3.467965558127,NA,NA,NA,-1.97666788799712,-0.187591543534104,NA,-1.35861853366826,NA,NA,-3.93227116625809,-2.11803884117798,-1.18267196224301,-3.11129061418826,-2.45896542814857,-3.1013402833351,-3.70912761494388,-3.37265537832267,NA,NA,1.77468807530844,0.743103278403246,17962,2.80550847457627,0.356441625132155,147423
"YAN 8A-I_200um",0.1,"Unit 8","YAN FW",1,-40.26,28196.38672,1.43,NA,NA,-3.40320340038902,-4.9888306641294,-3.97189640647556,-5.6248194308494,-2.72829380737886,-1.5304748686273,0.0389123566907702,NA,0,-3.13069612595648,-3.41532476092137,-0.990090442619764,3.9251390180504,-2.269084423264,NA,-2.35821220316001,-2.84531026576504,NA,NA,-5.25709465072408,NA,-2.14872074101413,-0.289420389396831,NA,-1.40367907224941,NA,NA,NA,-2.14187139916855,-1.3668454448455,-3.47823858633194,-2.49416783939604,-2.89479032302841,-3.00176244258058,-2.94684668498447,-2.86621695058436,-3.28944451503236,1.67068947430873,0.674334043516698,18160,2.70839289360833,0.369222649475986,156887
"YAN 8A-I_200um",0.12,"Unit 8","YAN FW",1,-37.11,27998.99219,1.51,NA,NA,-3.42472787907235,-5.14749447681345,-5.14749447681345,NA,-3.03526311231063,-1.75075144550068,0.0652650013729371,NA,0,-2.7741403129312,-3.88525276436354,-1.04430029931437,3.86508577467958,-2.34615634128769,NA,-2.42619904896122,-2.23877358024909,-3.02723094061336,NA,-4.35903711644918,NA,-2.13195957596328,-0.346757507281386,NA,-1.73086128702146,-6.06378520868761,NA,-4.76450222455735,-2.06558450701841,-1.36786065943105,-3.46109552324322,-2.42619904896122,-3.21115377877429,-2.61910271508571,-2.61379766285602,-4.42155747343052,-3.81249341008111,1.62794771472798,0.626021335857423,17966,2.72352331606218,0.367171448139411,153578
"YAN 8A-I_200um",0.14,"Unit 8","YAN FW",1,-33.96,27863.80273,1.52,-5.24739994136243,-4.36009674636153,-3.82601426043127,-5.58387217798364,-4.10226763705943,NA,-3.25172828274805,-1.54082091014909,0.0534143053841932,NA,0,-2.84950466856406,-3.86110558024254,-1.18081817611769,3.83037999502927,-2.76846345856093,NA,-2.6237670820728,-2.74479371447503,-5.48856199817932,NA,-4.10226763705943,NA,-2.28803531197931,-0.38869557035512,NA,-1.60419052408168,NA,NA,-5.24739994136243,-2.06341137549467,-1.32119230094233,-2.75065883392743,-2.73896279416424,-3.82601426043127,-2.53459913750162,-2.79886093574531,-3.42054915232311,-2.93769738059952,1.61356317611295,0.576702031946063,18097,2.82035043276335,0.354565868263473,153302
"YAN 8A-I_200um",0.16,"Unit 8","YAN FW",1,-30.81,28052.39063,1.41,-4.56396231455778,-4.86406690700812,-3.13241136184977,NA,-4.03115778407301,-5.29484982310057,-3.16845129833297,-1.58503715932017,0.0868183826823627,NA,0,-2.97699725797574,-3.5423110670258,-0.982503109064682,3.87582973889392,-3.640291475386,NA,-2.46163647904436,-2.35854097001738,NA,NA,NA,-4.05313669079179,-1.97092122222923,-0.307037096347963,NA,-1.54263449381483,NA,NA,NA,-2.16270569405671,-1.37822205128568,-2.98460185736096,-2.52226110086079,-3.22507019233247,-3.46535002588967,-3.45307993329786,-4.05313669079179,-2.91103929018394,1.63624631098163,0.576400851644596,17918,2.88592496204728,0.346509355978057,155458
"YAN 8A-I_200um",0.18,"Unit 8","YAN FW",1,-27.66,27797.90625,1.46,NA,-5.23357369616367,-3.37968244582861,-5.85261290456989,-4.85408407445877,-5.71908151194537,-2.97020931632291,-1.65005475770756,0.147032374628283,NA,0,-2.97824148802017,-3.73808004307879,-1.01406599098756,3.92034283373761,-4.62046922327726,NA,-2.12176925135692,-2.3220595016937,-4.66302883769606,NA,-3.46778971333888,-3.42907520115818,-1.94632057385073,-0.360727931953274,NA,-1.65863850139895,NA,NA,-5.40062778082684,-2.149548815464,-1.25893709800754,-2.81491643191687,-2.39135128216509,-2.66862433870213,-2.74866704637567,-2.45618880166039,NA,-3.4810349400889,1.67418158281847,0.617744219201071,17520,2.87610619469027,0.347692307692308,152646
"YAN 8A-I_200um",0.2,"Unit 8","YAN FW",1,-24.52,27932.59375,1.44,-5.02634458780144,-5.02634458780144,-3.64005022668155,-6.41263894892133,-4.21541437158511,NA,-3.20381345990663,-1.55089043553279,0.152978071812971,NA,0,-2.62278357746739,-3.32159649556301,-0.993210756624231,3.93611918976536,-4.11005385592728,NA,-2.57857748496289,-3.15454241089984,-6.18949539760712,NA,NA,-4.50309644403689,-1.89085037187229,-0.357026581989592,NA,-1.35321349065564,NA,NA,-4.39773592837906,-2.10520117123852,-1.33123458393686,-2.81532668833288,-2.2655438213137,-2.5894471571998,-2.74907730279168,-2.68093949762446,-5.23398395257968,-4.80320103648723,1.69996375179741,0.632919834208005,17936,2.90677412328469,0.344023979018359,154982
