"rowname","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se","Q0.25","Q0.75"
"kcps",1,5601,27280.7218475826,2911.97557128379,27997.99609,27692.2056071569,1721.81113482,17400.12695,36875.54688,19475.41993,-1.31092313517454,1.26599215691498,38.9094364782469,26756.15625,29101.83789
"MSE",2,5601,1.39075522228174,0.0953470216496302,1.39,1.3906449453247,0.0889560000000001,1.07,1.64,0.57,-0.0111214375369303,-0.0977286757434386,0.00127401442472636,1.33,1.45
"Mg",3,5601,9.19103731476522,10.4357181119975,7,7.60544521312207,10.3782,0,59,59,1.08602713835454,0.79243245164011,0.13944069963631,0,16
"Al",4,5601,10.8748437778968,10.6406839325056,9,9.5947333184557,13.3434,0,53,53,0.750834622560562,-0.147715356538694,0.142179426105007,0,18
"Si",5,5601,104.816818425281,49.7204579475957,108,106.159339433162,47.4432,0,263,263,-0.199626050239374,-0.420606955807432,0.664358251923255,75,139
"P",6,5601,5.75861453311909,7.96043393075108,0,4.28877482704753,0,0,50,50,1.36145120729269,1.39884142773349,0.106366276359691,0,11
"S",7,5601,78.879485806106,51.2005539397335,69,76.379156438295,56.3388,0,324,324,0.464205543044726,-0.389632368395136,0.684135100862412,40,118
"Cl",8,5601,4.67577218353865,23.1457154407729,0,2.39879491185003,0,0,1370,1370,40.5663653120179,2214.92598498905,0.309270020520569,0,7
"Ar",9,5601,140.907695054455,47.4612271798615,152,145.783976790895,35.5824,0,273,273,-0.91962969671789,0.290325697980563,0.634170706081962,123,173
"K",10,5601,525.179432244242,224.663831674362,511,523.416424905155,253.5246,44,1195,1151,0.118858755833679,-0.880947226161644,3.00192871591959,351,702
"Ca",11,5601,3694.7005891805,1957.27973860626,3076,3474.86297701406,1598.2428,321,12323,12002,0.912237760588121,-0.054150278776286,26.1529157079725,2256,4939
"Sc",12,5601,1.75165149080521,6.16165485690837,0,0.0535594733318456,0,0,65,65,4.57120107593321,24.5022427591215,0.0823312257904903,0,0
"Ti",13,5601,2100.2890555258,690.968096097671,1964,2035.01785315778,501.1188,409,5158,4749,0.96497269246261,1.09216429087808,9.2326252695021,1670,2374
"V",14,5601,123.107480806999,39.0655796992931,122,122.898906494086,40.0302,0,272,272,0.067209161650108,-0.0857424400460456,0.521989163228252,96,150
"Cr",15,5601,65.6000714158186,27.1878720334855,64,64.6357955813434,23.7216,0,736,736,3.19636470188716,67.1523726440919,0.363280787894534,49,81
"Mn",16,5601,876.918764506338,267.859984092786,833,870.752064271368,308.3808,126,1670,1544,0.219522766797651,-0.754020650932519,3.57911005123153,674,1112
"Fe",17,5601,89932.3811819318,21372.0709338612,92479,90847.4021423789,22740.1188,30708,189109,158401,-0.281053103155593,-0.402303113380405,285.57081474521,75200,106617
"Co",18,5601,294.768077129084,122.878303423253,288,289.139924124079,112.6776,0,854,854,0.541301775120039,0.860178658928322,1.6418838086248,213,365
"Ni",19,5601,0.672558471701482,4.01099988062071,0,0,0,0,53,53,7.31524167182251,59.9168195849619,0.0535944554646328,0,0
"Cu",20,5601,305.165863238707,134.216409014543,302,301.031912519527,139.3644,0,978,978,0.335748976279376,0.0468561251969226,1.79338209165932,206,393
"Zn",21,5601,234.82556686306,84.1945902771257,236,234.254853827271,60.7866,0,3930,3930,15.4248524909101,663.840651660524,1.12499709630311,193,274
"Ga",22,5601,53.9069808962685,50.5573163721967,45,47.9093952242803,63.7518,0,269,269,0.806435931834689,0.0547857015940627,0.6755402446688,0,87
"As",23,5601,27.7496875557936,49.5162762958397,0,16.3019415309083,0,0,460,460,2.51682948350871,8.67122558374699,0.661630003414796,0,41
"Se",24,5601,29.3376182824496,38.3545037489264,10,22.3041731756304,14.826,0,199,199,1.36009960172598,1.29598649679874,0.512487859441626,0,51
"Br",25,5601,113.543117300482,170.193932364761,33,77.8542735996429,48.9258,0,1762,1762,2.42992654968316,10.2630172102798,2.27410905010107,0,169
"Rb",26,5601,270.984824138547,110.402464800102,272,271.338540504352,115.6428,0,778,778,0.0132202581279902,-0.273069952728854,1.47518328571954,193,348
"Sr",27,5601,2373.05981074808,528.43262967062,2368,2381.84869448784,606.3834,879,4196,3317,-0.0864721352465817,-0.495847516074606,7.06084763895781,1983,2803
"Y",28,5601,43.4234958043207,77.5859494228729,0,24.1314438741352,0,0,446,446,2.06526761491329,3.70379427684841,1.03669330211546,0,55
"Zr",29,5601,795.565970362435,172.131357582532,775,782.506360187458,158.6382,368,1729,1361,0.867350235593967,1.43610335932435,2.29999667230011,674,891
"Sn",30,5601,4.00142831637208,8.15551947821523,0,1.94019192144611,0,0,60,60,2.46020650373855,6.59429910403885,0.108972983913056,0,5
"Cs",31,5601,0.0676664881271202,0.818464852308426,0,0,0,0,22,22,15.0775804080492,269.457649568528,0.0109362202398328,0,0
"Ba",32,5601,17.9407248705588,20.4977016161788,12,14.6956036598973,17.7912,0,144,144,1.23614943007996,1.50558771541006,0.273887606355555,0,30
"Ta",33,5601,345.869309051955,147.567212491598,358,352.851372461504,123.0558,0,758,758,-0.424970475825241,-0.194591169845822,1.97177378043128,279,446
"W",34,5601,760.289769683985,241.982199280311,839,801.074983262665,94.8864,95,1477,1382,-1.54614844253971,1.07782432346308,3.23333447732628,768,898
"Ir",35,5601,138.075522228174,58.5083435046683,137,137.458156661459,59.304,0,375,375,0.147368708163412,-0.0226339511605409,0.781780828620997,97,177
"Pt",36,5601,242.215675772184,93.5341090035257,254,248.124302611024,77.0952,0,523,523,-0.532167319016019,0.0346701528122684,1.24979052321433,199,304
"Au",37,5601,119.158364577754,62.0319021187306,123,119.683552778398,62.2692,0,347,347,-0.0252053927522521,-0.35834283927936,0.828862157675826,76,161
"Hg",38,5601,151.607212997679,63.82094633285,158,154.419549207766,60.7866,0,388,388,-0.355461930531719,-0.182565334882345,0.852767132323455,114,196
"Pb",39,5601,94.6318514550973,66.3043697085381,92,91.1486275384959,74.13,0,478,478,0.384172954274427,-0.36750909389184,0.885950310450986,40,141
"Th",40,5601,28.2399571505088,38.8508629652035,5,20.7730417317563,7.413,0,240,240,1.49147495758131,1.87673380580641,0.519120146328432,0,48
"U",41,5601,34.7737903945724,43.095961014822,17,27.2307520642714,25.2042,0,247,247,1.29546746453006,1.17886223484873,0.57584259088958,0,59
"Mo_inc",42,5601,17931.2910194608,3434.09599831596,17772,17710.1370229859,3917.0292,9154,29550,20396,0.480867982824609,-0.320795504407355,45.8859412916602,14991,20172
"Mo_coh",43,5601,5888.99660774862,620.205825129211,5771,5833.55210890426,550.0446,3490,8494,5004,0.71505512327135,0.441977991018769,8.28710906584454,5437,6203
"TS_sum",44,5601,23820.2876272094,3867.59670669638,23705,23624.4454362865,4544.169,12776,38044,25268,0.345615930615822,-0.476581652353648,51.6783210225681,20427,26498
"inc_coh",45,5601,3.0360749664548,0.432597269800456,2.93834262088801,2.99809011505433,0.460150885437095,2.31988152536098,4.41147378832839,2.09159226296741,0.644791384407375,-0.510234669543422,0.00578030810284001,2.67485928705441,3.35083374607892
"coh_inc",46,5601,0.335729209109017,0.0450287795542061,0.340327908968555,0.337293382624416,0.0549352171366642,0.226681614349776,0.431056495371848,0.204374881022072,-0.24737332121459,-1.05623293140767,0.00060166865925491,0.298433188805676,0.373851441397208
"cps_sum",47,5601,127975.194965185,21251.7964137703,130770,129387.456371346,21119.637,63132,220164,157032,-0.507593233405574,-0.176601434585753,283.963722348701,115238,144210
