"Core","depth_cm","Group","Guano_Zone","Guano_sum","SH20_age","kcps","MSE","Mg","Al","Si","P","S","Cl","Ar","K","Ca","Sc","Ti","V","Cr","Mn","Fe","Co","Ni","Cu","Zn","Ga","As","Se","Br","Rb","Sr","Y","Zr","Sn","Cs","Ba","Ta","W","Ir","Pt","Au","Hg","Pb","Th","U","Mo_inc","Mo_coh","TS_sum","inc_coh","coh_inc","cps_sum"
"YAN 8A-I_200um",0.02,"Unit 8","YAN FW",1,-52.85,18364.04688,1.33,0,52.3506402793946,115.72246798603,0,107.4565774156,27.5529685681024,633.718277066356,669.537136204889,3681.07660069849,0,3096.95366705471,179.094295692666,16.5317811408615,1245.39417927823,173958.422351572,644.739464493597,0,446.35809080326,223.17904540163,0,79.9036088474971,245.221420256112,0,391.252153667055,3895.98975552969,30.3082654249127,1303.25541327125,0,0,11.021187427241,655.760651920838,1171.00116414435,424.315715948778,377.475669383003,212.157857974389,272.774388824214,66.1271245634459,0,0,32606.1830034924,11834,16129,2.75529685681024,0.362937299307081,86624
"YAN 8A-I_200um",0.04,"Unit 8","YAN FW",1,-49.7,23229.83008,1.45,38.1585732703051,57.2378599054577,198.969703480877,73.5915341641599,130.829394069618,24.5305113880533,577.829823807477,896.72647185217,5671.99935539321,0,4859.766867211,286.189299527288,136.280618822518,1711.68457241083,253154.87752471,403.390631714654,0,436.097980232058,269.835625268586,0,0,19.0792866351526,0,648.695745595187,4450.92501074345,0,1771.64804469274,27.2561237645037,0,0,670.50064460679,1387.33669961324,261.658788139235,430.646755479158,411.567468844005,340.701547056296,378.860120326601,119.926944563816,0,34574.3929952729,12685,17339,2.72561237645037,0.366890027591644,120012
"YAN 8A-I_200um",0.06,"Unit 8","YAN FW",1,-46.55,25651.91016,1.31,53.1118910870028,0,212.447564348011,22.362901510317,148.15422250585,0,519.937460114869,1199.21059349075,7005.17889810679,0,6046.36949585195,324.262071899596,159.335673261008,2211.13188683259,301259.032333546,670.887045309509,0,575.844713890662,486.393107849394,170.517124016167,0,44.7258030206339,0,1084.60072325037,5252.48649223569,111.814507551585,1604.53818336524,0,0,36.339714954265,732.38502446288,1881.27908955541,279.536268878962,399.736864496916,315.875983833227,508.756009359711,486.393107849394,0,81.065517974899,36733.8610933844,13141,17842,2.79536268878962,0.357735332166502,137284
"YAN 8A-I_200um",0.08,"Unit 8","YAN FW",1,-43.4,27061.84375,1.34,58.9156779661017,16.8330508474576,221.635169491525,33.6661016949153,89.7762711864407,11.2220338983051,432.048305084746,1343.83855932203,7277.48898305085,0,6298.36652542373,302.994915254237,218.829661016949,2412.73728813559,331482.048305085,0,0,443.270338983051,367.521610169492,196.385593220339,0,0,0,872.51313559322,5221.05127118644,0,1618.77838983051,0,0,123.442372881356,757.487288135593,1930.18983050847,280.550847457627,538.657627118644,283.356355932203,154.302966101695,216.024152542373,0,0,37150.543220339,13242,17962,2.80550847457627,0.356441625132155,147423
"YAN 8A-I_200um",0.1,"Unit 8","YAN FW",1,-40.26,28196.38672,1.43,0,0,224.796610169492,46.0426791913416,127.294465999592,24.375536042475,441.468041658158,1462.5321625485,7025.57116602001,0,6757.44026955279,295.214825403308,222.088217275883,2510.68021237492,342332.736573412,698.76536655095,0,639.180722891566,392.716969573208,0,0,35.2091076169083,0,788.142332040024,5059.27792526036,0,1660.24484378191,0,0,0,793.559117827241,1722.5378803349,208.546252807842,557.928936083316,373.75821931795,335.840718807433,354.799469062691,384.591790892383,251.880539105575,35921.4149479273,13263,18160,2.70839289360833,0.369222649475986,156887
"YAN 8A-I_200um",0.12,"Unit 8","YAN FW",1,-37.11,27998.99219,1.51,0,0,228.775958549223,40.8528497409326,40.8528497409326,0,337.71689119171,1220.13844559586,7500.58321243523,0,7026.69015544041,438.48725388601,144.346735751295,2472.95917098446,335224.867357513,672.710259067358,0,620.963316062176,748.968911917098,340.440414507772,0,89.8762694300518,0,833.398134715026,4967.70652849741,0,1244.65015544041,16.3411398963731,0,59.9175129533679,890.592124352332,1789.35481865285,220.605388601036,620.963316062176,283.246424870466,512.022383419689,514.745906735751,84.4292227979275,155.240829015544,35789.8198963731,13141,17966,2.72352331606218,0.367171448139411,153578
"YAN 8A-I_200um",0.14,"Unit 8","YAN FW",1,-33.96,27863.80273,1.52,39.4849060586869,95.891914713954,163.580325100274,28.2035043276335,124.095419041588,0,290.496094574625,1607.59974667511,7916.72366476673,0,7504.95250158328,434.333966645556,157.939624234748,2304.22630356766,345828.54971501,470.99852227148,0,544.327633523327,482.279924002533,31.0238547603969,0,124.095419041588,0,761.494616846105,5087.91218070509,0,1508.88748152839,0,0,39.4849060586869,953.278446274013,2002.44880726198,479.45957356977,485.100274435297,163.580325100274,595.093941313067,456.896770107663,245.370487650412,397.669411019633,37679.8817817184,13360,18097,2.82035043276335,0.354565868263473,153302
"YAN 8A-I_200um",0.16,"Unit 8","YAN FW",1,-30.81,28052.39063,1.41,77.9199739752765,57.7184992409456,326.109520711342,0,132.752548254175,37.5170245066146,314.565820863153,1532.4261548471,8155.62394274561,0,7477.4315766645,380.942094990241,216.444372153546,2799.34721318586,360581.894382997,196.242897419215,0,637.789416612448,707.051615701583,0,0,0,129.866623292128,1041.81891129907,5500.57297766211,0,1598.80242897419,0,0,0,860.005638690089,1884.50900021687,378.056170028193,600.272392105834,297.25027109087,233.75992192583,236.645846887877,129.866623292128,406.915419648666,38403.0034699631,13307,17918,2.88592496204728,0.346509355978057,155458
"YAN 8A-I_200um",0.18,"Unit 8","YAN FW",1,-27.66,27797.90625,1.46,0,37.3893805309735,238.716814159292,20.1327433628319,54.646017699115,23.0088495575221,359.513274336283,1346.01769911504,8119.24778761062,0,7009.07079646018,356.637168141593,166.814159292035,2542.47787610619,353381.415929204,69.0265486725664,0,839.823008849557,687.389380530973,66.1504424778761,0,218.58407079646,227.212389380531,1000.88495575221,4886.50442477876,0,1334.51327433628,0,0,31.6371681415929,816.814159292035,1990.26548672566,419.911504424779,641.371681415929,486.061946902655,448.672566371681,601.106194690266,0,215.70796460177,37389.3805309735,13000,17520,2.87610619469027,0.347692307692308,152646
"YAN 8A-I_200um",0.2,"Unit 8","YAN FW",1,-24.52,27932.59375,1.44,46.508385972555,46.508385972555,186.03354389022,11.6270964931387,104.643868438249,0,287.770638205184,1502.80222173818,8258.1452842518,0,7086.71531256807,514.49901982139,255.796122849052,2624.81703332607,362977.605096929,116.270964931387,0,537.753212807667,302.304508821607,14.5338706164234,0,0,78.4829013286866,1069.69287736876,4958.95665432368,0,1831.26769766935,0,0,87.2032236985406,863.311914615552,1871.96253539534,424.389021999564,735.413853191026,531.939664561098,453.456763232411,485.431278588543,37.7880636027009,58.1354824656937,38790.9006752342,13345,17936,2.90677412328469,0.344023979018359,154982
