"Core","depth_cm","SH20_age","param","value"
"ARD1A",11.4,1030.42,"kcps",10586.56934
"ARD1A",11.4,1030.42,"MSE",0.97
"ARD1A",11.4,1030.42,"Mg",4
"ARD1A",11.4,1030.42,"Al",8
"ARD1A",11.4,1030.42,"Si",31
"ARD1A",11.4,1030.42,"P",0
"ARD1A",11.4,1030.42,"S",21
"ARD1A",11.4,1030.42,"Cl",6
"ARD1A",11.4,1030.42,"Ar",77
"ARD1A",11.4,1030.42,"K",31
"ARD1A",11.4,1030.42,"Ca",640
"ARD1A",11.4,1030.42,"Sc",5
"ARD1A",11.4,1030.42,"Ti",425
"ARD1A",11.4,1030.42,"V",34
"ARD1A",11.4,1030.42,"Cr",22
"ARD1A",11.4,1030.42,"Mn",181
"ARD1A",11.4,1030.42,"Fe",12407
"ARD1A",11.4,1030.42,"Co",45
"ARD1A",11.4,1030.42,"Ni",0
"ARD1A",11.4,1030.42,"Cu",36
"ARD1A",11.4,1030.42,"Zn",94
"ARD1A",11.4,1030.42,"Ga",35
"ARD1A",11.4,1030.42,"Ge",0
"ARD1A",11.4,1030.42,"As",0
"ARD1A",11.4,1030.42,"Se",38
"ARD1A",11.4,1030.42,"Br",0
"ARD1A",11.4,1030.42,"Rb",21
"ARD1A",11.4,1030.42,"Sr",1248
"ARD1A",11.4,1030.42,"Zr",731
"ARD1A",11.4,1030.42,"Nb",5
"ARD1A",11.4,1030.42,"Mo",12
"ARD1A",11.4,1030.42,"In",6
"ARD1A",11.4,1030.42,"Sn",0
"ARD1A",11.4,1030.42,"Sb",14
"ARD1A",11.4,1030.42,"Te",15
"ARD1A",11.4,1030.42,"I",9
"ARD1A",11.4,1030.42,"Cs",0
"ARD1A",11.4,1030.42,"Ba",0
"ARD1A",11.4,1030.42,"La",19
"ARD1A",11.4,1030.42,"Ce",18
"ARD1A",11.4,1030.42,"Pr",0
"ARD1A",11.4,1030.42,"Nd",15
"ARD1A",11.4,1030.42,"Sm",6
"ARD1A",11.4,1030.42,"Eu",0
"ARD1A",11.4,1030.42,"Gd",15
"ARD1A",11.4,1030.42,"Tb",79
"ARD1A",11.4,1030.42,"Dy",0
"ARD1A",11.4,1030.42,"Ho",6
"ARD1A",11.4,1030.42,"Ta",40
"ARD1A",11.4,1030.42,"W",11
"ARD1A",11.4,1030.42,"Os",0
"ARD1A",11.4,1030.42,"Ir",0
"ARD1A",11.4,1030.42,"Pt",29
"ARD1A",11.4,1030.42,"Au",0
"ARD1A",11.4,1030.42,"Hg",88
"ARD1A",11.4,1030.42,"Pb",10
"ARD1A",11.4,1030.42,"Bi",24
"ARD1A",11.4,1030.42,"Th",0
"ARD1A",11.4,1030.42,"U",0
"ARD1A",11.4,1030.42,"Mo_inc",13874
"ARD1A",11.4,1030.42,"Mo_coh",4337
"ARD1A",11.4,1030.42,"TS_sum",18211
"ARD1A",11.4,1030.42,"inc_coh",3.198985474
"ARD1A",11.4,1030.42,"coh_inc",0.312599106
"ARD1A",11.4,1030.42,"cps_sum",34772
"ARD1A",11.6,1062.78,"kcps",13329.53125
"ARD1A",11.6,1062.78,"MSE",1.26
"ARD1A",11.6,1062.78,"Mg",0
"ARD1A",11.6,1062.78,"Al",0
"ARD1A",11.6,1062.78,"Si",9
"ARD1A",11.6,1062.78,"P",6
"ARD1A",11.6,1062.78,"S",47
"ARD1A",11.6,1062.78,"Cl",6
"ARD1A",11.6,1062.78,"Ar",39
"ARD1A",11.6,1062.78,"K",67
"ARD1A",11.6,1062.78,"Ca",1284
"ARD1A",11.6,1062.78,"Sc",4
"ARD1A",11.6,1062.78,"Ti",744
"ARD1A",11.6,1062.78,"V",34
"ARD1A",11.6,1062.78,"Cr",20
"ARD1A",11.6,1062.78,"Mn",247
"ARD1A",11.6,1062.78,"Fe",20978
"ARD1A",11.6,1062.78,"Co",34
"ARD1A",11.6,1062.78,"Ni",5
"ARD1A",11.6,1062.78,"Cu",100
"ARD1A",11.6,1062.78,"Zn",111
"ARD1A",11.6,1062.78,"Ga",53
"ARD1A",11.6,1062.78,"Ge",26
"ARD1A",11.6,1062.78,"As",0
"ARD1A",11.6,1062.78,"Se",0
"ARD1A",11.6,1062.78,"Br",167
"ARD1A",11.6,1062.78,"Rb",75
"ARD1A",11.6,1062.78,"Sr",1583
"ARD1A",11.6,1062.78,"Zr",871
"ARD1A",11.6,1062.78,"Nb",0
"ARD1A",11.6,1062.78,"Mo",0
"ARD1A",11.6,1062.78,"In",0
"ARD1A",11.6,1062.78,"Sn",6
"ARD1A",11.6,1062.78,"Sb",0
"ARD1A",11.6,1062.78,"Te",10
"ARD1A",11.6,1062.78,"I",5
"ARD1A",11.6,1062.78,"Cs",0
"ARD1A",11.6,1062.78,"Ba",0
"ARD1A",11.6,1062.78,"La",34
"ARD1A",11.6,1062.78,"Ce",29
"ARD1A",11.6,1062.78,"Pr",5
"ARD1A",11.6,1062.78,"Nd",4
"ARD1A",11.6,1062.78,"Sm",9
"ARD1A",11.6,1062.78,"Eu",86
"ARD1A",11.6,1062.78,"Gd",82
"ARD1A",11.6,1062.78,"Tb",195
"ARD1A",11.6,1062.78,"Dy",51
"ARD1A",11.6,1062.78,"Ho",0
"ARD1A",11.6,1062.78,"Ta",0
"ARD1A",11.6,1062.78,"W",32
"ARD1A",11.6,1062.78,"Os",22
"ARD1A",11.6,1062.78,"Ir",23
"ARD1A",11.6,1062.78,"Pt",20
"ARD1A",11.6,1062.78,"Au",18
"ARD1A",11.6,1062.78,"Hg",10
"ARD1A",11.6,1062.78,"Pb",138
"ARD1A",11.6,1062.78,"Bi",73
"ARD1A",11.6,1062.78,"Th",0
"ARD1A",11.6,1062.78,"U",0
"ARD1A",11.6,1062.78,"Mo_inc",16378
"ARD1A",11.6,1062.78,"Mo_coh",4689
"ARD1A",11.6,1062.78,"TS_sum",21067
"ARD1A",11.6,1062.78,"inc_coh",3.49285562
"ARD1A",11.6,1062.78,"coh_inc",0.286298693
"ARD1A",11.6,1062.78,"cps_sum",48429
"ARD1A",11.8,1095.15,"kcps",10465.1748
"ARD1A",11.8,1095.15,"MSE",1.12
"ARD1A",11.8,1095.15,"Mg",0
"ARD1A",11.8,1095.15,"Al",14
"ARD1A",11.8,1095.15,"Si",24
"ARD1A",11.8,1095.15,"P",0
"ARD1A",11.8,1095.15,"S",27
"ARD1A",11.8,1095.15,"Cl",0
"ARD1A",11.8,1095.15,"Ar",38
"ARD1A",11.8,1095.15,"K",75
"ARD1A",11.8,1095.15,"Ca",1276
"ARD1A",11.8,1095.15,"Sc",0
"ARD1A",11.8,1095.15,"Ti",741
"ARD1A",11.8,1095.15,"V",15
"ARD1A",11.8,1095.15,"Cr",0
"ARD1A",11.8,1095.15,"Mn",263
"ARD1A",11.8,1095.15,"Fe",21791
"ARD1A",11.8,1095.15,"Co",192
"ARD1A",11.8,1095.15,"Ni",0
"ARD1A",11.8,1095.15,"Cu",106
"ARD1A",11.8,1095.15,"Zn",144
"ARD1A",11.8,1095.15,"Ga",45
"ARD1A",11.8,1095.15,"Ge",31
"ARD1A",11.8,1095.15,"As",80
"ARD1A",11.8,1095.15,"Se",40
"ARD1A",11.8,1095.15,"Br",54
"ARD1A",11.8,1095.15,"Rb",0
"ARD1A",11.8,1095.15,"Sr",1160
"ARD1A",11.8,1095.15,"Zr",678
"ARD1A",11.8,1095.15,"Nb",0
"ARD1A",11.8,1095.15,"Mo",0
"ARD1A",11.8,1095.15,"In",0
"ARD1A",11.8,1095.15,"Sn",0
"ARD1A",11.8,1095.15,"Sb",0
"ARD1A",11.8,1095.15,"Te",30
"ARD1A",11.8,1095.15,"I",0
"ARD1A",11.8,1095.15,"Cs",0
"ARD1A",11.8,1095.15,"Ba",0
"ARD1A",11.8,1095.15,"La",0
"ARD1A",11.8,1095.15,"Ce",30
"ARD1A",11.8,1095.15,"Pr",11
"ARD1A",11.8,1095.15,"Nd",7
"ARD1A",11.8,1095.15,"Sm",20
"ARD1A",11.8,1095.15,"Eu",15
"ARD1A",11.8,1095.15,"Gd",49
"ARD1A",11.8,1095.15,"Tb",139
"ARD1A",11.8,1095.15,"Dy",8
"ARD1A",11.8,1095.15,"Ho",31
"ARD1A",11.8,1095.15,"Ta",0
"ARD1A",11.8,1095.15,"W",44
"ARD1A",11.8,1095.15,"Os",46
"ARD1A",11.8,1095.15,"Ir",29
"ARD1A",11.8,1095.15,"Pt",17
"ARD1A",11.8,1095.15,"Au",48
"ARD1A",11.8,1095.15,"Hg",30
"ARD1A",11.8,1095.15,"Pb",0
"ARD1A",11.8,1095.15,"Bi",45
"ARD1A",11.8,1095.15,"Th",0
"ARD1A",11.8,1095.15,"U",42
"ARD1A",11.8,1095.15,"Mo_inc",10940
"ARD1A",11.8,1095.15,"Mo_coh",3479
"ARD1A",11.8,1095.15,"TS_sum",14419
"ARD1A",11.8,1095.15,"inc_coh",3.144581776
"ARD1A",11.8,1095.15,"coh_inc",0.318007313
"ARD1A",11.8,1095.15,"cps_sum",41854
"ARD1A",12,1127.52,"kcps",10582.66699
"ARD1A",12,1127.52,"MSE",1.25
"ARD1A",12,1127.52,"Mg",0
"ARD1A",12,1127.52,"Al",0
"ARD1A",12,1127.52,"Si",16
"ARD1A",12,1127.52,"P",0
"ARD1A",12,1127.52,"S",0
"ARD1A",12,1127.52,"Cl",0
"ARD1A",12,1127.52,"Ar",46
"ARD1A",12,1127.52,"K",78
"ARD1A",12,1127.52,"Ca",1409
"ARD1A",12,1127.52,"Sc",0
"ARD1A",12,1127.52,"Ti",786
"ARD1A",12,1127.52,"V",38
"ARD1A",12,1127.52,"Cr",16
"ARD1A",12,1127.52,"Mn",282
"ARD1A",12,1127.52,"Fe",23289
"ARD1A",12,1127.52,"Co",236
"ARD1A",12,1127.52,"Ni",0
"ARD1A",12,1127.52,"Cu",37
"ARD1A",12,1127.52,"Zn",100
"ARD1A",12,1127.52,"Ga",85
"ARD1A",12,1127.52,"Ge",26
"ARD1A",12,1127.52,"As",45
"ARD1A",12,1127.52,"Se",13
"ARD1A",12,1127.52,"Br",45
"ARD1A",12,1127.52,"Rb",21
"ARD1A",12,1127.52,"Sr",1092
"ARD1A",12,1127.52,"Zr",608
"ARD1A",12,1127.52,"Nb",0
"ARD1A",12,1127.52,"Mo",20
"ARD1A",12,1127.52,"In",9
"ARD1A",12,1127.52,"Sn",0
"ARD1A",12,1127.52,"Sb",0
"ARD1A",12,1127.52,"Te",43
"ARD1A",12,1127.52,"I",10
"ARD1A",12,1127.52,"Cs",0
"ARD1A",12,1127.52,"Ba",10
"ARD1A",12,1127.52,"La",9
