"Core","depth_cm","Group","Guano_Zone","Guano_sum","SH20_age","kcps","MSE","Mg","Al","Si","P","S","Cl","Ar","K","Ca","Sc","Ti","V","Cr","Mn","Fe","Co","Ni","Cu","Zn","Ga","As","Se","Br","Rb","Sr","Y","Zr","Sn","Cs","Ba","Ta","W","Ir","Pt","Au","Hg","Pb","Th","U","Mo_inc","Mo_coh","TS_sum","inc_coh","coh_inc","cps_sum"
"YAN 8A-I_200um",0.02,"Unit 8","YAN FW",1,-52.85,18364.04688,1.33,0,0.00117800235600471,0.00260400520801042,0,0.00241800483600967,0.00062000124000248,0.014260028520057,0.0150660301320603,0.0828321656643313,0,0.0696881393762788,0.00403000806001612,0.000372000744001488,0.0280240560481121,3.91443982887966,0.014508029016058,0,0.0100440200880402,0.00502201004402009,0,0.00179800359600719,0.00551801103602207,0,0.00880401760803522,0.0876681753363507,0.000682001364002728,0.0293260586521173,0,0,0.000248000496000992,0.014756029512059,0.0263500527001054,0.00954801909603819,0.00849401698803398,0.0047740095480191,0.00613801227602455,0.00148800297600595,0,0,0.733709467418935,0.266290532581065,16129,2.75529685681024,0.362937299307081,86624
"YAN 8A-I_200um",0.04,"Unit 8","YAN FW",1,-49.7,23229.83008,1.45,0.00080742834073476,0.00121114251110214,0.00421016206240268,0.00155718322855989,0.00276832573966203,0.000519061076186631,0.0122267720168406,0.0189745660072669,0.120018455504931,0,0.102831766537863,0.0060557125555107,0.00288367264548129,0.0362189284272449,5.35671030624604,0.0085356710306246,0,0.00922775246554011,0.00570967183805294,0,0,0.00040371417036738,0,0.0137262817924909,0.0941807486014188,0,0.0374877443912567,0.000576734529096257,0,0,0.0141876694157679,0.0293557875309995,0.00553665147932407,0.00911240555972086,0.00870869138935348,0.00720918161370321,0.00801660995443797,0.00253763192802353,0,0.731587750158602,0.268412249841398,17339,2.72561237645037,0.366890027591644,120012
"YAN 8A-I_200um",0.06,"Unit 8","YAN FW",1,-46.55,25651.91016,1.31,0.00106490303777603,0,0.00425961215110414,0.000448380226432014,0.0029705190001121,0,0.0104248402645443,0.0240443896424168,0.140455105929828,0,0.121230803721556,0.00650151328326421,0.0031947091133281,0.0443335948884654,6.04029817285058,0.0134514067929604,0,0.0115457908306244,0.00975226992489631,0.00341889922654411,0,0.000896760452864029,0,0.0217464409819527,0.105313305683219,0.00224190113216007,0.032171281246497,0,0,0.000728617867952023,0.0146844524156485,0.0377199865485932,0.00560475283040018,0.00801479654747226,0.0063333706983522,0.0102006501513283,0.00975226992489631,0,0.00162537832081605,0.736520569442888,0.263479430557112,17842,2.79536268878962,0.357735332166502,137284
"YAN 8A-I_200um",0.08,"Unit 8","YAN FW",1,-43.4,27061.84375,1.34,0.00116913484021824,0.00033403852577664,0.00439817392272575,0.000668077051553279,0.00178153880414208,0.00022269235051776,0.00857365549493375,0.0266674089745017,0.144415989310767,0,0.124986081728093,0.00601269346397951,0.00434250083509631,0.0478788553613183,6.57799799576885,0,0,0.00879634784545151,0.00729317447945663,0.00389711613406079,0,0,0,0.0173143302527558,0.103607616078388,0,0.0321233715621868,0,0,0.00244961585569536,0.0150317336599488,0.0383030842890547,0.00556730876294399,0.0106892328248525,0.00562298185057343,0.0030620198196192,0.00428682774746687,0,0,0.737223026389044,0.262776973610956,17962,2.80550847457627,0.356441625132155,147423
"YAN 8A-I_200um",0.1,"Unit 8","YAN FW",1,-40.26,28196.38672,1.43,0,0,0.0045704845814978,0.000936123348017621,0.00258810572687225,0.000495594713656388,0.00897577092511013,0.0297356828193833,0.14284140969163,0,0.13738986784141,0.00600220264317181,0.00451541850220264,0.0510462555066079,6.9601872246696,0.0142070484581498,0,0.0129955947136564,0.00798458149779736,0,0,0.000715859030837004,0,0.0160242290748899,0.102863436123348,0,0.0337555066079295,0,0,0,0.0161343612334802,0.0350220264317181,0.00424008810572687,0.0113436123348018,0.00759911894273128,0.00682819383259912,0.0072136563876652,0.0078193832599119,0.00512114537444934,0.73034140969163,0.26965859030837,18160,2.70839289360833,0.369222649475986,156887
"YAN 8A-I_200um",0.12,"Unit 8","YAN FW",1,-37.11,27998.99219,1.51,0,0,0.00467549816319715,0.000834910386285205,0.000834910386285205,0,0.0069019258599577,0.0249359902037181,0.153289546921964,0,0.143604586441055,0.0089613714794612,0.00295001669820773,0.0505399087164644,6.8509963263943,0.0137481910274964,0,0.0126906378715351,0.0153066904152288,0.00695758655237671,0,0.00183680284982745,0,0.0170321718802182,0.101525102972281,0,0.0254369364354893,0.000333964154514082,0,0.0012245352332183,0.0182010464210175,0.036569074919292,0.00450851608594011,0.0126906378715351,0.00578871201157742,0.0104642101747746,0.0105198708671936,0.00172548146498942,0.00317265946788378,0.731437159078259,0.268562840921741,17966,2.72352331606218,0.367171448139411,153578
"YAN 8A-I_200um",0.14,"Unit 8","YAN FW",1,-33.96,27863.80273,1.52,0.000773608885450627,0.00187876443609438,0.00320495109686688,0.000552577775321877,0.00243134221141626,0,0.00569155108581533,0.031496933193347,0.155108581532851,0,0.147040946013151,0.0085096977399569,0.00309443554180251,0.0451456042437973,6.77565342321932,0.00922804884787534,0,0.0106647510637122,0.00944907995800409,0.000607835552854064,0,0.00243134221141626,0,0.0149195999336907,0.0996850306680665,0,0.0295629109797204,0,0,0.000773608885450627,0.0186771288058794,0.0392330220478532,0.0093938221804719,0.00950433773553628,0.00320495109686688,0.0116593910592916,0.0089517599602144,0.00480742664530033,0.00779134663203846,0.738243907830027,0.261756092169973,18097,2.82035043276335,0.354565868263473,153302
"YAN 8A-I_200um",0.16,"Unit 8","YAN FW",1,-30.81,28052.39063,1.41,0.00150686460542471,0.00111619600401831,0.00630650742270343,0,0.0025672508092421,0.000725527402611899,0.00608326822189977,0.029635003906686,0.157718495367787,0,0.144603192320572,0.00736689362652082,0.00418573501506865,0.0541355061948878,6.97315548610336,0.00379506641366224,0,0.0123339658444023,0.0136734010492242,0,0,0,0.00251144100904119,0.0201473378725304,0.106373479182945,0,0.0309186293113071,0,0,0,0.0166313204598728,0.0364437995311977,0.0073110838263199,0.0116084384417904,0.00574840942069427,0.00452059381627414,0.00457640361647505,0.00251144100904119,0.00786918182832905,0.74266101127358,0.25733898872642,17918,2.88592496204728,0.346509355978057,155458
"YAN 8A-I_200um",0.18,"Unit 8","YAN FW",1,-27.66,27797.90625,1.46,0,0.000742009132420091,0.00473744292237443,0.000399543378995434,0.00108447488584475,0.00045662100456621,0.00713470319634703,0.0267123287671233,0.161130136986301,0,0.139098173515982,0.00707762557077626,0.00331050228310502,0.0504566210045662,7.01301369863014,0.00136986301369863,0,0.0166666666666667,0.0136415525114155,0.00131278538812785,0,0.004337899543379,0.00450913242009132,0.0198630136986301,0.0969748858447489,0,0.0264840182648402,0,0,0.000627853881278539,0.0162100456621005,0.0394977168949772,0.00833333333333333,0.0127283105022831,0.00964611872146119,0.0089041095890411,0.0119292237442922,0,0.00428082191780822,0.742009132420091,0.257990867579909,17520,2.87610619469027,0.347692307692308,152646
"YAN 8A-I_200um",0.2,"Unit 8","YAN FW",1,-24.52,27932.59375,1.44,0.000892060660124889,0.000892060660124889,0.00356824264049955,0.000223015165031222,0.002007136485281,0,0.00551962533452275,0.0288247100802855,0.158396520963426,0,0.13592774308653,0.00986842105263158,0.00490633363068689,0.0503456735057984,6.96214317573595,0.00223015165031222,0,0.010314451382694,0.00579839429081177,0.000278768956289028,0,0,0.00150535236396075,0.0205173951828724,0.0951159678858162,0,0.0351248884924175,0,0,0.00167261373773417,0.0165588760035682,0.0359054415700268,0.00814005352363961,0.0141057091882248,0.0102029438001784,0.00869759143621766,0.00931088314005352,0.000724799286351472,0.00111507582515611,0.744034344335415,0.255965655664585,17936,2.90677412328469,0.344023979018359,154982
