"Record","Section","Strat_Depth_cm","SH20_95CI_min_age","SH20_95CI_max_age","SH20_median_age","SH20_mean_age","Type","Group","Guano_Zone","Guano_Sum","Si","Ti","Al","Fe","Mn","Mg","Ca","Na","K","P","S","Cl","Location","Location1","Location2","Reference"
"YAN","YAN 8A-I",3,349.41,503.31,412.12,413.85,"Freshwater","Unit Y8","YAN GZ 0","Non Guano",24.87171537785,1.024261623137,8.97592734304,7.59420488927,0.10842313006,2.4603498336,4.73150533786,2.91547263792,0.55619546763,0.12874146507,0.216219152304,0.02,"Fildes Peninsula","King George Island","SSI","Roberts et al. (2017)"
"YAN","YAN 8A-I",5,619.21,876.1,724.1,727.09,"Freshwater","Unit Y8","YAN GZ 0","Non Guano",24.60060853855,1.049433646643,8.82773986332,7.79630246053,0.117716541208,2.7015606016,4.98880774294,3.13060929568,0.50638691829,0.140524582212,0.26026379444,0.03,"Fildes Peninsula","King George Island","SSI","Roberts et al. (2017)"
"YAN","YAN 8A-I",7,875.65,1053.08,960,960.6,"Freshwater","Unit Y8","YAN GZ 0","Non Guano",23.5208554372,0.785726733723,9.29876435243,6.995685159,0.072798387326,2.2492904116,2.56587676177,2.0029964688,0.73882681521,0.106484466024,0.601609770994,NA,"Fildes Peninsula","King George Island","SSI","Roberts et al. (2017)"
"YAN","YAN 8A-I",9,1094.54,1282.72,1199.5,1194.12,"Freshwater","Unit Y8","YAN GZ 0","Non Guano",23.9228414403,0.701819988703,9.93385355123,7.29883151589,0.067377230823,2.4844709104,1.96550448325,1.85462636,0.87995103834,0.104302407294,0.418424100292,NA,"Fildes Peninsula","King George Island","SSI","Roberts et al. (2017)"
"YAN","YAN 8A-I",13,2012.48,2269.55,2150.74,2149.92,"Freshwater","Unit Y8","YAN GZ 0","Non Guano",24.5304947008,1.047036311071,9.73274197161,7.43097223556,0.095257464267,2.5206525256,3.45928789052,2.6335694312,0.59770259208,0.18765705078,0.403909388679,NA,"Fildes Peninsula","King George Island","SSI","Roberts et al. (2017)"
"YAN","YAN 8A-I",15,2485.16,2895.05,2708.42,2709.28,"Freshwater","Unit Y8","YAN GZ 0","Non Guano",24.56321449175,0.840266117986,9.80683571147,7.21332869728,0.06970058361,2.3457747188,2.67308609722,2.27748117008,0.62260686675,0.125250171102,0.585093030193,NA,"Fildes Peninsula","King George Island","SSI","Roberts et al. (2017)"
"YAN","YAN 8A-I",17,2890.41,3176.44,3041.46,3039.78,"Freshwater","Unit Y8","YAN GZ 0","Non Guano",25.74112696595,0.949344886512,9.74861920158,6.84799847231,0.095257464267,2.4543195644,3.16624904029,2.55196587136,0.63090829164,0.14619793491,0.304808943873,0.12,"Fildes Peninsula","King George Island","SSI","Roberts et al. (2017)"
"YAN","YAN 8A-I",19,3249.45,3541.21,3362.38,3370.27,"Freshwater","Unit Y7","YAN GZ 0","Non Guano",23.18898327185,0.949944220405,9.19820856262,6.98791217549,0.083640700332,2.2734114884,3.82379963105,2.4481067952,0.5810997423,0.142706640942,0.760270584143,NA,"Fildes Peninsula","King George Island","SSI","Roberts et al. (2017)"
"YAN","YAN 8A-I",21,3544.84,3828.07,3656.2,3664.29,"Freshwater","Unit Y7","YAN GZ 0","Non Guano",22.09520740295,0.748568032357,9.16116169269,8.02171898232,0.064279427107,2.2191390656,2.45152013729,1.84720785456,0.64751114142,0.10473881904,1.750274017609,NA,"Fildes Peninsula","King George Island","SSI","Roberts et al. (2017)"
"YAN","YAN 8A-I",23,3784.69,4076.3,3919.58,3921.83,"Freshwater","Unit Y7","YAN GZ 0","Non Guano",22.68416364005,0.708412661526,9.80683571147,6.10179205535,0.072023936397,2.291502296,2.17992315415,1.80269682192,0.73052539032,0.103865995548,0.674183329059,NA,"Fildes Peninsula","King George Island","SSI","Roberts et al. (2017)"
"YAN","YAN 8A-I",25,3965.08,4448.46,4178.68,4179.37,"Freshwater","Unit Y7","YAN GZ 0","Non Guano",23.5769465074,0.768945384719,9.64806341177,6.38161946171,0.068151681752,2.3397444496,2.95183036939,2.12169255584,0.64751114142,0.102993172056,0.816327401407,NA,"Fildes Peninsula","King George Island","SSI","Roberts et al. (2017)"
"YAN","YAN 8A-I",27,4164.54,4520.61,4334.31,4335.56,"Freshwater","Unit Y7","YAN GZ 0","Non Guano",22.95527047935,0.691631312522,8.56311936382,6.36607349469,0.065053878036,2.0744126048,2.63020236304,1.73593027296,0.60600401697,0.09164646666,1.004518145079,NA,"Fildes Peninsula","King George Island","SSI","Roberts et al. (2017)"
"YAN","YAN 8A-I",29,4282.56,4678.45,4493.76,4491.74,"Freshwater","Unit Y7","YAN GZ 0","Non Guano",23.31051392395,0.729389347781,8.661028948635,6.276684184325,0.072023936397,2.1920028542,2.96612494745,1.97703169976,0.593551879635,0.096665201739,0.8701319358345,NA,"Fildes Peninsula","King George Island","SSI","Roberts et al. (2017)"
"YAN","YAN 8A-I",31,4494.97,4816.59,4653.57,4658.3,"Freshwater","Unit Y7","YAN GZ 0","Non Guano",23.66575736855,0.76714738304,8.75893853345,6.18729487396,0.078993994758,2.3095931036,3.30204753186,2.21813312656,0.5810997423,0.101683936818,0.73574572659,NA,"Fildes Peninsula","King George Island","SSI","Roberts et al. (2017)"
"YAN","YAN 8A-I",33,4656.06,5002.71,4842.29,4835.24,"Freshwater","Unit Y6","YAN GZ 0","Non Guano",29.8311008347,1.031453629853,10.81768601956,7.81184842755,0.106874228202,2.86437787,4.84586196234,2.94514665968,0.69731969076,0.123940935864,0.342346991148,NA,"Fildes Peninsula","King George Island","SSI","Roberts et al. (2017)"
"YAN","YAN 8A-I",35,4706.93,5384.1,4994.86,5012.18,"Freshwater","Unit Y6","YAN GZ 0","Non Guano",24.7081164231,0.91098751736,9.3146415824,6.74694968668,0.098355267983,2.4784406412,4.47420293278,2.70033598016,0.58940116719,0.101247525072,0.137138999378,0.02,"Fildes Peninsula","King George Island","SSI","Roberts et al. (2017)"
"YAN","YAN 8A-I",37,4948.8,5431.21,5167.2,5174.49,"Freshwater","Unit Y6","YAN GZ 0","Non Guano",24.80627579595,0.953540223763,9.17703892266,7.05786902708,0.110746482847,2.5869854868,4.90304027458,2.9303096488,0.57279831741,0.10473881904,0.049049715106,NA,"Fildes Peninsula","King George Island","SSI","Roberts et al. (2017)"
"YAN","YAN 8A-I",39,5131.64,5503.07,5350.54,5336.81,"Freshwater","Unit Y6","YAN GZ 0","Non Guano",24.89976091295,0.966725569409,8.997096983,7.2288746643,0.114618737492,2.6291973712,5.0745752113,2.98965769232,0.55619546763,0.10692087777,0.06006087564,0.04,"Fildes Peninsula","King George Island","SSI","Roberts et al. (2017)"
"YAN","YAN 8A-I",41,5197.91,5579.23,5443.92,5417.97,"Freshwater","Unit Y6","YAN GZ 0","Non Guano",24.8950866571,0.959533562693,9.00768180298,7.11227991165,0.11616763935,2.6352276404,5.31043574929,3.01191320864,0.53959261785,0.103865995548,0.031531959711,0.01,"Fildes Peninsula","King George Island","SSI","Roberts et al. (2017)"
"YAN","YAN 8A-I",43,5197.91,5579.23,5443.92,5417.97,"Freshwater","Unit Y6","YAN GZ 0","Non Guano",24.9324807039,0.963728899944,8.9441728831,7.25996659834,0.118490992137,2.6472881788,5.2175209919,3.02675021952,0.55619546763,0.106048054278,0.035536018087,0.02,"Fildes Peninsula","King George Island","SSI","Roberts et al. (2017)"
"YAN","YAN 8A-I",45,5197.91,5579.23,5443.92,5417.97,"Freshwater","Unit Y6","YAN GZ 0","Non Guano",24.9418292156,0.962530232158,8.94946529309,7.19778273026,0.120814344924,2.6472881788,5.27469930414,3.0415872304,0.56449689252,0.106048054278,0.040541091057,0.01,"Fildes Peninsula","King George Island","SSI","Roberts et al. (2017)"
"YAN","YAN 8A-I",47,5197.91,5579.23,5443.92,5417.97,"Freshwater","Unit Y6","YAN GZ 0","Non Guano",25.38588352135,0.977513579483,9.2087933826,7.31437748291,0.126235501427,2.8523173316,5.29614117123,3.36058296432,0.55619546763,0.109539348246,0.048048700512,0.06,"Fildes Peninsula","King George Island","SSI","Roberts et al. (2017)"
"YAN","YAN 8A-I",49,5197.91,5579.23,5443.92,5417.97,"Freshwater","Unit Y6","YAN GZ 0","Non Guano",24.89976091295,0.975116243911,8.92300324314,7.32215046642,0.124686599569,2.6774395248,5.20322641384,3.06384274672,0.57279831741,0.108230113008,0.042543120245,0.05,"Fildes Peninsula","King George Island","SSI","Roberts et al. (2017)"
